Orthogroup	NEMVE	BRAFL
OG0000028	NEMVE03003, NEMVE23660, NEMVE03469, NEMVE05286, NEMVE04640, NEMVE08022, NEMVE16966, NEMVE16972, NEMVE16973, NEMVE02982, NEMVE08442, NEMVE03100, NEMVE06698, NEMVE03432, NEMVE18759, NEMVE09822, NEMVE00992, NEMVE03007, NEMVE02052, NEMVE16048, NEMVE08155, NEMVE16956, NEMVE02432, NEMVE01030, NEMVE02426	bflo_24390, bflo_24387, bflo_05196
OG0000029	NEMVE10355, NEMVE09829, NEMVE10357	bflo_25831
OG0000030	NEMVE14217, NEMVE02377, NEMVE09974	bflo_23616
OG0000030	NEMVE02213, NEMVE02794	bflo_05555, bflo_23730
OG0000030	NEMVE06265	bflo_09719, bflo_22462
OG0000031	NEMVE00311, NEMVE00632	bflo_04592, bflo_05889, bflo_05515, bflo_02310
OG0000031	NEMVE01854	bflo_02624
OG0000031	NEMVE06981	bflo_02501
OG0000031	NEMVE01806	bflo_02849
OG0000031	NEMVE01412	bflo_06021
OG0000031	NEMVE02343	bflo_06369
OG0000031	NEMVE04984	bflo_11397
OG0000031	NEMVE07820	bflo_15458
OG0000031	NEMVE21885	bflo_15459
OG0000031	NEMVE22486	bflo_02405
OG0000032	NEMVE08961, NEMVE08817	bflo_01811, bflo_01636
OG0000032	NEMVE03085	bflo_01430
OG0000033	NEMVE07263, NEMVE03185, NEMVE16828, NEMVE02598, NEMVE24679, NEMVE02584, NEMVE12391	bflo_01352, bflo_03633, bflo_15322
OG0000033	NEMVE05503, NEMVE18079, NEMVE02721, NEMVE15415, NEMVE10748, NEMVE03167, NEMVE08927, NEMVE11580, NEMVE03129, NEMVE03126, NEMVE11341	bflo_26002, bflo_04544, bflo_00163, bflo_06741, bflo_17809, bflo_03709, bflo_11321, bflo_11329, bflo_03793, bflo_19957, bflo_22799, bflo_18950, bflo_24853, bflo_19052, bflo_18243, bflo_00552, bflo_07886, bflo_24852, bflo_17791
OG0000033	NEMVE08276, NEMVE09890, NEMVE21344, NEMVE15725, NEMVE19380, NEMVE03161, NEMVE11272, NEMVE09721, NEMVE02571, NEMVE10598, NEMVE19678, NEMVE24522, NEMVE02588, NEMVE11685, NEMVE21301	bflo_11964, bflo_24309, bflo_19014, bflo_11315
OG0000034	NEMVE16906	bflo_20016
OG0000034	NEMVE17012, NEMVE07311, NEMVE07285	bflo_20326
OG0000034	NEMVE10927	bflo_03308, bflo_13145
OG0000034	NEMVE10961, NEMVE24294	bflo_05871
OG0000034	NEMVE06675, NEMVE11922, NEMVE10845	bflo_03310
OG0000034	NEMVE05344	bflo_07712, bflo_08443
OG0000034	NEMVE06831	bflo_15884
OG0000034	NEMVE16104, NEMVE09479, NEMVE10924	bflo_03379
OG0000035	NEMVE23841	bflo_02157
OG0000035	NEMVE22226, NEMVE05357, NEMVE02194	bflo_10385
OG0000035	NEMVE15629, NEMVE22520, NEMVE22285, NEMVE20289, NEMVE01710, NEMVE22620, NEMVE22233	bflo_09462
OG0000036	NEMVE14673, NEMVE17825, NEMVE21872, NEMVE13905, NEMVE22602, NEMVE13688, NEMVE22372	bflo_12806, bflo_12805
OG0000037	NEMVE00865, NEMVE01113	bflo_18550, bflo_02879, bflo_10999
OG0000037	NEMVE10401	bflo_01343, bflo_01342
OG0000037	NEMVE15427	bflo_10199, bflo_10232, bflo_10192
OG0000038	NEMVE24201, NEMVE14716	bflo_18833
OG0000038	NEMVE02186	bflo_10654
OG0000039	NEMVE06442, NEMVE10026, NEMVE09835, NEMVE12611	bflo_27127, bflo_15187, bflo_27466, bflo_26974, bflo_01763, bflo_23061, bflo_22995, bflo_23026, bflo_12184, bflo_10698, bflo_10998, bflo_10878, bflo_10625, bflo_09250, bflo_23001, bflo_01761, bflo_10810, bflo_23007, bflo_01762, bflo_15400
OG0000039	NEMVE09831	bflo_22047, bflo_13127, bflo_13500
OG0000039	NEMVE16411, NEMVE04657	bflo_25066, bflo_24169
OG0000041	NEMVE01036, NEMVE05046, NEMVE18248, NEMVE18247, NEMVE10912, NEMVE25031, NEMVE01071, NEMVE10609, NEMVE15601, NEMVE17131, NEMVE01535, NEMVE08864, NEMVE18334, NEMVE01110, NEMVE18337, NEMVE00105, NEMVE01601, NEMVE14886, NEMVE03031	bflo_00106, bflo_13477, bflo_00582, bflo_00913, bflo_10831, bflo_18111, bflo_17887, bflo_18216, bflo_16501, bflo_17380, bflo_17886, bflo_08425, bflo_05530, bflo_18780, bflo_09009, bflo_26911, bflo_03344, bflo_12945
OG0000041	NEMVE02337	bflo_01738
OG0000041	NEMVE05295	bflo_05956
OG0000043	NEMVE21961, NEMVE21792, NEMVE19640	bflo_21607, bflo_03333, bflo_03334, bflo_21606, bflo_22480, bflo_21604, bflo_03332, bflo_20396, bflo_20397, bflo_26387, bflo_26388, bflo_26390, bflo_26385, bflo_26389, bflo_26386, bflo_01851, bflo_26391, bflo_26228, bflo_17461, bflo_25593, bflo_25594, bflo_25592, bflo_23222, bflo_23223, bflo_23219, bflo_23220, bflo_23221, bflo_23218
OG0000043	NEMVE14296	bflo_23211, bflo_07587
OG0000043	NEMVE02775, NEMVE00615, NEMVE12385, NEMVE21267, NEMVE22714, NEMVE22026, NEMVE21348, NEMVE21359, NEMVE05121	bflo_23226, bflo_23242, bflo_23238, bflo_23225, bflo_23224
OG0000044	NEMVE05548, NEMVE05555, NEMVE06435, NEMVE06437, NEMVE08743	bflo_14922
OG0000044	NEMVE00148, NEMVE09327, NEMVE09586, NEMVE05553, NEMVE13115	bflo_26099, bflo_11229
OG0000044	NEMVE04813	bflo_09554
OG0000044	NEMVE09195, NEMVE09209	bflo_21687
OG0000044	NEMVE12375, NEMVE01572	bflo_07502
OG0000044	NEMVE04962	bflo_13320
OG0000044	NEMVE08299, NEMVE08297, NEMVE08301, NEMVE10773, NEMVE02442, NEMVE17897, NEMVE07734	bflo_10330
OG0000045	NEMVE24106	bflo_20899, bflo_17244
OG0000045	NEMVE00309, NEMVE15224, NEMVE04686	bflo_03910
OG0000045	NEMVE12767	bflo_03790, bflo_25952
OG0000045	NEMVE03022, NEMVE15670, NEMVE03113	bflo_05921
OG0000046	NEMVE01253	bflo_22680
OG0000046	NEMVE08905, NEMVE15252	bflo_09128, bflo_05621, bflo_14370, bflo_12973, bflo_25564, bflo_11116, bflo_21984, bflo_17346, bflo_17140, bflo_17411, bflo_17138, bflo_15946, bflo_19960, bflo_03865, bflo_11219, bflo_01794, bflo_19942, bflo_19982, bflo_19954, bflo_19961, bflo_19955, bflo_19958, bflo_19956, bflo_19962, bflo_11929, bflo_19932, bflo_10620, bflo_14470, bflo_15030
OG0000047	NEMVE12741, NEMVE05419	bflo_26688, bflo_22263, bflo_16428, bflo_15647
OG0000047	NEMVE10640, NEMVE06306, NEMVE11518	bflo_13834
OG0000048	NEMVE05567	bflo_15152
OG0000048	NEMVE14912	bflo_17882, bflo_09143, bflo_09129, bflo_09102, bflo_27224, bflo_13732, bflo_11483, bflo_11417, bflo_05102, bflo_05104, bflo_17693, bflo_18962, bflo_22214, bflo_23171, bflo_19625, bflo_19404, bflo_20902, bflo_17669
OG0000048	NEMVE14024	bflo_20353
OG0000048	NEMVE15061	bflo_12849
OG0000049	NEMVE19461, NEMVE02399, NEMVE21864	bflo_17665, bflo_12099, bflo_12470, bflo_11081, bflo_24254, bflo_25115
OG0000050	NEMVE20299	bflo_08634, bflo_13204
