Orthogroup	NEMVE	ASTMX
OG0000091	NEMVE05463, NEMVE05476, NEMVE13252	ASTMX03395
OG0000094	NEMVE05621	ASTMX09275, ASTMX08870, ASTMX14395, ASTMX02106, ASTMX08390, ASTMX03425, ASTMX08393, ASTMX01747
OG0000094	NEMVE03407, NEMVE03409, NEMVE03406	ASTMX08913, ASTMX02078, ASTMX14341, ASTMX03427, ASTMX19974, ASTMX14525, ASTMX20671, ASTMX08392
OG0000096	NEMVE15121	ASTMX11824, ASTMX12057, ASTMX18217
OG0000096	NEMVE14782	ASTMX13693, ASTMX16094, ASTMX16093
OG0000096	NEMVE12518, NEMVE12519	ASTMX08845
OG0000096	NEMVE22574	ASTMX18278, ASTMX15892
OG0000096	NEMVE22432	ASTMX09859
OG0000096	NEMVE25573	ASTMX00377, ASTMX10196, ASTMX13339, ASTMX00337, ASTMX00376, ASTMX22998
OG0000096	NEMVE14773	ASTMX19590, ASTMX07352, ASTMX10423, ASTMX12959
OG0000098	NEMVE25900	ASTMX07347, ASTMX04481, ASTMX14487, ASTMX14764
OG0000098	NEMVE07244, NEMVE05378	ASTMX18980, ASTMX20779, ASTMX21996, ASTMX18982, ASTMX20777, ASTMX05127, ASTMX21313, ASTMX18164, ASTMX20778
OG0000100	NEMVE02724	ASTMX04209
OG0000100	NEMVE08709, NEMVE08700	ASTMX18651
OG0000101	NEMVE09668, NEMVE18669, NEMVE09674, NEMVE09673, NEMVE09675, NEMVE09670, NEMVE14294, NEMVE01377, NEMVE13283, NEMVE10270, NEMVE14668, NEMVE10030, NEMVE00231, NEMVE06943, NEMVE05036, NEMVE08533	ASTMX00206, ASTMX00424, ASTMX01330, ASTMX08413
OG0000101	NEMVE18515	ASTMX14248, ASTMX12706, ASTMX02894
OG0000102	NEMVE01554, NEMVE04730	ASTMX10991, ASTMX16111
OG0000103	NEMVE06305	ASTMX21446, ASTMX16835, ASTMX09444, ASTMX11660, ASTMX22226, ASTMX10672, ASTMX15124, ASTMX06401, ASTMX04972
OG0000103	NEMVE09043	ASTMX06869, ASTMX11394, ASTMX17816, ASTMX11412, ASTMX14316
OG0000104	NEMVE07990	ASTMX07046, ASTMX03729, ASTMX19421
OG0000104	NEMVE01265	ASTMX16255, ASTMX08642, ASTMX17146, ASTMX01448
OG0000104	NEMVE01905	ASTMX19420, ASTMX03728, ASTMX07045
OG0000104	NEMVE06744	ASTMX00149
OG0000104	NEMVE00656, NEMVE11959, NEMVE06478, NEMVE02810, NEMVE06126	ASTMX00709, ASTMX16073
OG0000106	NEMVE07221, NEMVE07805	ASTMX14703, ASTMX18591, ASTMX08015
OG0000106	NEMVE16024	ASTMX10570, ASTMX00462
OG0000107	NEMVE21307	ASTMX08032
OG0000107	NEMVE17314, NEMVE09156, NEMVE01768, NEMVE08712	ASTMX19414
