Orthogroup	HUMAN	ASTMX
OG0000063	HUMAN00859, HUMAN28501	ASTMX13777
OG0000063	HUMAN18628	ASTMX10350
OG0000063	HUMAN03783, HUMAN03782	ASTMX13375, ASTMX12584
OG0000065	HUMAN29458	ASTMX13708, ASTMX15083
OG0000065	HUMAN05357	ASTMX08041
OG0000065	HUMAN25383	ASTMX15226
OG0000065	HUMAN14424, HUMAN14423, HUMAN14422	ASTMX12818, ASTMX13454
OG0000066	HUMAN29798	ASTMX01776
OG0000067	HUMAN23532	ASTMX19815
OG0000067	HUMAN24070	ASTMX00316, ASTMX18001
OG0000067	HUMAN22809	ASTMX19454
OG0000068	HUMAN26983	ASTMX15456
OG0000068	HUMAN26982	ASTMX10880
OG0000068	HUMAN30562	ASTMX04048
OG0000068	HUMAN21443	ASTMX00964, ASTMX17789
OG0000068	HUMAN02454	ASTMX09217, ASTMX10879
OG0000068	HUMAN30510, HUMAN30509	ASTMX04017
OG0000068	HUMAN20380	ASTMX02175, ASTMX13274
OG0000068	HUMAN21486	ASTMX19064
OG0000068	HUMAN06933	ASTMX03044
OG0000069	HUMAN13360, HUMAN02573	ASTMX20491
OG0000070	HUMAN25671	ASTMX03868
OG0000070	HUMAN29634	ASTMX11850
OG0000070	HUMAN20129, HUMAN13391	ASTMX17327
OG0000070	HUMAN14097	ASTMX15136, ASTMX13592
OG0000070	HUMAN14161	ASTMX02948
