Orthogroup	APOSC_ok	BRALA
OG0000039	APOSC_22387	BRALA02916, BRALA20258, BRALA27882, BRALA01626, BRALA01628, BRALA23751, BRALA01619, BRALA01617, BRALA01627, BRALA01624, BRALA01620, BRALA01618, BRALA04466, BRALA04471, BRALA01927, BRALA16092
OG0000039	APOSC_06140, APOSC_06138, APOSC_06139, APOSC_14138, APOSC_03802, APOSC_26119, APOSC_03803, APOSC_06401, APOSC_25262	BRALA19542
OG0000040	APOSC_12799, APOSC_05455, APOSC_11724, APOSC_11723, APOSC_18664, APOSC_11832, APOSC_16301, APOSC_16488, APOSC_28921, APOSC_07234	BRALA28368, BRALA17917, BRALA31975, BRALA14369, BRALA25635, BRALA14529, BRALA07729, BRALA29177, BRALA06759, BRALA31556, BRALA17916, BRALA33438, BRALA30900, BRALA15606
OG0000041	APOSC_19034	BRALA24286, BRALA29257
OG0000041	APOSC_26184	BRALA07763, BRALA29216, BRALA11960, BRALA35158
OG0000041	APOSC_00445	BRALA27215
OG0000042	APOSC_03215	BRALA00418
OG0000042	APOSC_20693, APOSC_03472	BRALA26932, BRALA10497, BRALA33237, BRALA25972, BRALA26227, BRALA30833, BRALA32825, BRALA26228, BRALA11123, BRALA11124, BRALA11125, BRALA26907, BRALA26906, BRALA26912, BRALA26903, BRALA15159, BRALA21422, BRALA22612, BRALA04619, BRALA28472
OG0000043	APOSC_10405	BRALA06468
OG0000043	APOSC_07558	BRALA06439, BRALA20722
OG0000044	APOSC_25765	BRALA16330, BRALA33207
OG0000044	APOSC_27143	BRALA28596
OG0000044	APOSC_23682, APOSC_07549	BRALA12952
OG0000045	APOSC_22122, APOSC_09364, APOSC_16917	BRALA29043, BRALA32667
OG0000045	APOSC_22585, APOSC_21035, APOSC_21563, APOSC_17346	BRALA00161, BRALA00165, BRALA00163, BRALA00162
OG0000045	APOSC_00620, APOSC_28402, APOSC_22340	BRALA00175, BRALA00172, BRALA00173
OG0000045	APOSC_21821	BRALA00167, BRALA00176, BRALA00180
OG0000045	APOSC_04551	BRALA06480
OG0000045	APOSC_22210, APOSC_25137, APOSC_21940	BRALA00168, BRALA00164
OG0000045	APOSC_07318	BRALA01913, BRALA01918, BRALA01920
OG0000046	APOSC_27956	BRALA28946
OG0000046	APOSC_17204, APOSC_26711	BRALA05184, BRALA05187, BRALA01521, BRALA01523, BRALA00548, BRALA15946
OG0000047	APOSC_28415	BRALA08165
OG0000047	APOSC_07412	BRALA26369, BRALA32034, BRALA34020, BRALA28823, BRALA03575, BRALA05399, BRALA24725, BRALA07480, BRALA17974, BRALA28047, BRALA13926
OG0000047	APOSC_09840	BRALA33326, BRALA22587
