Orthogroup	APOSC_ok	PFLAV
OG0000030	APOSC_12149	TCONS_00008414.p1, TCONS_00008093.p1, TCONS_00054540.p1, TCONS_00053448.p1, TCONS_00053450.p1
OG0000030	APOSC_27610	TCONS_00027726.p1
OG0000031	APOSC_16590	TCONS_00032922.p1
OG0000031	APOSC_14603	TCONS_00047108.p1, TCONS_00005437.p1
OG0000031	APOSC_14535	TCONS_00003900.p1
OG0000031	APOSC_00328	TCONS_00028162.p1
OG0000031	APOSC_01319	TCONS_00047742.p1, TCONS_00046710.p1, TCONS_00045709.p1
OG0000031	APOSC_17680	TCONS_00041599.p1
OG0000031	APOSC_02579	TCONS_00054588.p1
OG0000031	APOSC_22997	TCONS_00003964.p1
OG0000032	APOSC_07613, APOSC_02397, APOSC_12691, APOSC_10351, APOSC_01318, APOSC_23129, APOSC_10044	TCONS_00016893.p1
OG0000032	APOSC_24218, APOSC_15369, APOSC_23030, APOSC_14347, APOSC_17486, APOSC_15168, APOSC_06921, APOSC_26892, APOSC_15726	TCONS_00045890.p1, TCONS_00018770.p1
OG0000034	APOSC_28767, APOSC_28766	TCONS_00005924.p1
OG0000034	APOSC_00389	TCONS_00049881.p1, TCONS_00037015.p1
OG0000034	APOSC_10138	TCONS_00029638.p1
OG0000034	APOSC_10830	TCONS_00037982.p1
OG0000034	APOSC_23397	TCONS_00029930.p1
OG0000034	APOSC_00072	TCONS_00015036.p1
OG0000034	APOSC_15909	TCONS_00037412.p1
OG0000034	APOSC_25715	TCONS_00036269.p1, TCONS_00036263.p1
OG0000035	APOSC_21179	TCONS_00023765.p1
OG0000035	APOSC_27035	TCONS_00003567.p1
OG0000035	APOSC_22023, APOSC_22024, APOSC_12588, APOSC_03857, APOSC_23863, APOSC_01826	TCONS_00025160.p1
OG0000035	APOSC_25872	TCONS_00041944.p1, TCONS_00028232.p1
OG0000035	APOSC_04998	TCONS_00023673.p1
OG0000035	APOSC_25573	TCONS_00024074.p1
OG0000035	APOSC_08656	TCONS_00023006.p1
