Orthogroup	APOSC_ok	DROME
OG0000111	APOSC_16477, APOSC_00783, APOSC_25506	DROME11971, DROME11972, DROME11973, DROME11975
OG0000113	APOSC_22087, APOSC_26451	DROME10760, DROME10761, DROME10759, DROME10758, DROME10762
OG0000114	APOSC_19632	DROME08662, DROME08648, DROME08661, DROME08653, DROME08652, DROME08663, DROME08649, DROME08654, DROME08664, DROME08658, DROME08655, DROME08660, DROME08657, DROME08659, DROME08656
OG0000114	APOSC_10928, APOSC_00248, APOSC_23655, APOSC_06012, APOSC_17348, APOSC_05416	DROME04013, DROME04512, DROME04513
OG0000116	APOSC_28097, APOSC_09224	DROME05231
OG0000117	APOSC_01933	DROME17123
OG0000119	APOSC_11483	DROME20499, DROME20496, DROME20497, DROME20498, DROME20500, DROME20501
OG0000119	APOSC_20728, APOSC_03029, APOSC_22358, APOSC_01445, APOSC_04311, APOSC_04310, APOSC_02102	DROME21220, DROME21219
OG0000119	APOSC_19027, APOSC_11438, APOSC_25237, APOSC_25238	DROME06207, DROME06208, DROME08017, DROME06209
OG0000120	APOSC_26863	DROME15164
OG0000120	APOSC_04315	DROME00669, DROME11520, DROME01716, DROME13340, DROME11519, DROME11518, DROME00703, DROME01785
OG0000121	APOSC_12629, APOSC_22410, APOSC_16340, APOSC_22409	DROME10532
OG0000122	APOSC_25177	DROME10483, DROME10478, DROME10477, DROME10479, DROME10481, DROME10480, DROME10476
OG0000122	APOSC_11178, APOSC_05959	DROME01359, DROME01363, DROME01361, DROME01366, DROME01365, DROME01360, DROME01358, DROME01362, DROME01367, DROME01364
OG0000123	APOSC_24903	DROME17732, DROME17730, DROME17731
OG0000124	APOSC_29022	DROME17463
OG0000124	APOSC_26551	DROME08713, DROME09900
OG0000124	APOSC_03695	DROME21734
OG0000125	APOSC_26262, APOSC_07039, APOSC_19200	DROME04039, DROME04040, DROME04038
OG0000126	APOSC_16760	DROME21081, DROME21082, DROME21083, DROME21080
OG0000126	APOSC_21117	DROME05808, DROME05806, DROME05810, DROME05805, DROME05801, DROME05809, DROME05802, DROME05807, DROME05803, DROME05799, DROME05800, DROME05804
OG0000126	APOSC_28093	DROME14473, DROME14469, DROME14474, DROME14468, DROME14472, DROME14470, DROME14471
OG0000127	APOSC_09690	DROME11205, DROME11204
OG0000127	APOSC_02788	DROME08158
OG0000127	APOSC_16052, APOSC_16050, APOSC_16051	DROME05986
OG0000127	APOSC_04103	DROME18062
OG0000129	APOSC_12123	DROME07177, DROME07176, DROME07178, DROME10520
OG0000130	APOSC_28750	DROME11753, DROME15905, DROME02314, DROME10893, DROME15098, DROME15702, DROME15860
OG0000131	APOSC_21472, APOSC_03272, APOSC_06150	DROME18073, DROME18075, DROME18074
OG0000132	APOSC_13028, APOSC_01542, APOSC_27288, APOSC_18201, APOSC_28955, APOSC_10689	DROME03704, DROME03676, DROME03724, DROME03709, DROME03749, DROME03779, DROME03759, DROME03681, DROME03754, DROME03744, DROME03694, DROME03690, DROME03714, DROME03739, DROME03719, DROME03672, DROME03685, DROME03734, DROME03699, DROME03764, DROME03769, DROME03729, DROME03774
OG0000142	APOSC_06545, APOSC_21775, APOSC_20241, APOSC_07546, APOSC_00286, APOSC_07201, APOSC_14102	DROME07188
OG0000142	APOSC_15551	DROME13886
OG0000144	APOSC_22522, APOSC_01517, APOSC_21418	DROME21183
OG0000147	APOSC_05531, APOSC_20902	DROME06557, DROME06554, DROME06558, DROME06555, DROME06553, DROME06552, DROME06556
OG0000147	APOSC_16682	DROME06267, DROME06264, DROME06263, DROME06265, DROME06266
OG0000147	APOSC_25363	DROME03466
OG0000147	APOSC_20013, APOSC_18428, APOSC_05853	DROME17452, DROME17451
OG0000148	APOSC_14879, APOSC_14878	DROME19762, DROME19761, DROME19763
OG0000148	APOSC_22996	DROME12939
OG0000149	APOSC_12513, APOSC_00444, APOSC_02449, APOSC_02196	DROME17665, DROME17666, DROME17690, DROME17689, DROME17695, DROME17694, DROME07964, DROME16235, DROME16234, DROME16236
OG0000149	APOSC_09540, APOSC_20238	DROME14698, DROME14702, DROME14703, DROME14701, DROME14700, DROME14699
OG0000157	APOSC_02266	DROME05618, DROME05617, DROME05616
OG0000157	APOSC_25645	DROME09786
OG0000157	APOSC_27261	DROME05150, DROME05149
OG0000158	APOSC_22004	DROME06825, DROME06824
OG0000159	APOSC_25144	DROME09571, DROME09570
OG0000163	APOSC_26564, APOSC_17645	DROME12520
OG0000163	APOSC_12728	DROME07955
OG0000163	APOSC_20618	DROME19834, DROME00819
OG0000165	APOSC_28761	DROME15840, DROME15841
OG0000167	APOSC_04566, APOSC_04565	DROME04018, DROME04019
OG0000168	APOSC_27887, APOSC_13167, APOSC_07254, APOSC_08432, APOSC_07255	DROME01783
OG0000171	APOSC_14851, APOSC_03334	DROME21195, DROME21196, DROME21202, DROME21201, DROME21198, DROME21197, DROME21200, DROME21199
OG0000171	APOSC_09017, APOSC_01598	DROME18491, DROME18493, DROME18496, DROME18497, DROME18494, DROME18492, DROME18495
OG0000172	APOSC_02167	DROME05153, DROME05152, DROME05600, DROME14157, DROME11999, DROME15739, DROME15740, DROME07019, DROME09308
OG0000173	APOSC_10054, APOSC_10053, APOSC_10055	DROME18317, DROME18316, DROME18314, DROME18318, DROME18315
OG0000175	APOSC_27959, APOSC_10607	DROME19671, DROME02329, DROME16486, DROME16483
OG0000175	APOSC_02663, APOSC_15663, APOSC_16993, APOSC_02106, APOSC_04816	DROME03593, DROME00840
OG0000179	APOSC_21863, APOSC_17377, APOSC_21864	DROME11221, DROME21050
OG0000179	APOSC_01350	DROME07796
OG0000179	APOSC_01246	DROME10428
OG0000180	APOSC_02926	DROME21739, DROME21740
OG0000181	APOSC_01446, APOSC_07714	DROME18397
OG0000181	APOSC_04711	DROME06226
OG0000183	APOSC_14059, APOSC_14061, APOSC_14060	DROME07200, DROME07199, DROME07201, DROME07198, DROME07192, DROME07195, DROME07191, DROME07194, DROME07196, DROME07193
OG0000183	APOSC_02686, APOSC_08693	DROME07008
OG0000183	APOSC_25503	DROME18789
OG0000185	APOSC_15583, APOSC_15582	DROME12225, DROME12226
OG0000185	APOSC_05961	DROME03791, DROME03792
OG0000186	APOSC_09256	DROME05503, DROME05502
OG0000188	APOSC_13702	DROME16886, DROME16887
OG0000193	APOSC_02060	DROME10361, DROME10367, DROME10365, DROME10363, DROME01919, DROME10366, DROME10368, DROME10364, DROME09981
OG0000195	APOSC_18323	DROME10558, DROME10557, DROME10559, DROME09087
OG0000197	APOSC_01929	DROME14335, DROME14334, DROME14336
OG0000200	APOSC_22552	DROME04138, DROME04137, DROME04136, DROME04135, DROME04133, DROME04134, DROME04139, DROME04140, DROME06874, DROME04143, DROME04206, DROME03566, DROME03565, DROME01582, DROME04144
OG0000201	APOSC_29091, APOSC_29090	DROME11047
OG0000201	APOSC_24036	DROME19450
OG0000201	APOSC_29029	DROME18513, DROME18512, DROME18511, DROME18514
OG0000202	APOSC_27982, APOSC_06419	DROME14920, DROME14921
OG0000203	APOSC_26461	DROME04489
OG0000204	APOSC_25272, APOSC_13121, APOSC_25275, APOSC_25274, APOSC_25273	DROME10849, DROME10848
OG0000205	APOSC_04935	DROME20772, DROME20771, DROME20775, DROME20777, DROME20773, DROME20774, DROME20776
OG0000205	APOSC_06399, APOSC_24958	DROME06842, DROME06843
OG0000205	APOSC_19060, APOSC_17853	DROME08187
OG0000207	APOSC_21181, APOSC_21969, APOSC_12332	DROME06000
OG0000208	APOSC_28634	DROME02132
OG0000210	APOSC_11707	DROME14047, DROME11376
OG0000211	APOSC_15302	DROME17290
OG0000222	APOSC_17306, APOSC_24662, APOSC_18810, APOSC_29111	DROME09565, DROME16074, DROME09564, DROME04893, DROME12542, DROME12543, DROME13909, DROME07721, DROME07723, DROME07722, DROME20893, DROME03346, DROME18058, DROME18059
OG0000223	APOSC_16511, APOSC_16512	DROME10256
OG0000225	APOSC_17424, APOSC_17423, APOSC_28152, APOSC_13403, APOSC_16327, APOSC_12109	DROME11929
OG0000226	APOSC_01170, APOSC_23826, APOSC_10383, APOSC_17762, APOSC_04918, APOSC_07323, APOSC_02474	DROME14660
OG0000227	APOSC_28503	DROME20242
OG0000227	APOSC_05191, APOSC_01281, APOSC_13947	DROME04927, DROME04926
OG0000229	APOSC_25375, APOSC_24814, APOSC_12350, APOSC_16701, APOSC_14149, APOSC_22408, APOSC_21651, APOSC_15293, APOSC_09519, APOSC_02374	DROME04047
OG0000230	APOSC_06712, APOSC_26272, APOSC_14213, APOSC_14212, APOSC_08307, APOSC_05636, APOSC_13314, APOSC_16355, APOSC_16356, APOSC_07355	DROME03186
OG0000230	APOSC_01214	DROME09028, DROME09029
OG0000231	APOSC_23746	DROME06449, DROME06448
OG0000231	APOSC_19155, APOSC_10082, APOSC_10081, APOSC_18444, APOSC_12966	DROME20855, DROME20857, DROME20856, DROME20854
OG0000231	APOSC_06034	DROME07628, DROME07629
OG0000232	APOSC_14325	DROME10139
OG0000232	APOSC_03253, APOSC_19277	DROME02286, DROME02285, DROME02281, DROME02282
OG0000233	APOSC_17951, APOSC_12310	DROME00414, DROME00405, DROME00404, DROME00403
OG0000234	APOSC_09141, APOSC_09142	DROME11138, DROME11135, DROME11141, DROME11133, DROME11139, DROME11144, DROME11137, DROME11134, DROME11136, DROME11140, DROME11145, DROME11132, DROME11143
OG0000234	APOSC_24843, APOSC_24844	DROME11142
OG0000235	APOSC_14007, APOSC_05733, APOSC_17704, APOSC_05734, APOSC_09538	DROME11735
OG0000236	APOSC_18403	DROME03355
OG0000236	APOSC_20041, APOSC_22914, APOSC_09706, APOSC_22812, APOSC_00589, APOSC_01505	DROME12102, DROME12101, DROME12103, DROME12096, DROME12097, DROME12095, DROME12094, DROME12092, DROME12100, DROME12099, DROME12098, DROME12093
OG0000238	APOSC_11219, APOSC_20889	DROME01901, DROME01902
OG0000238	APOSC_02443, APOSC_14952, APOSC_02534	DROME05364, DROME05367, DROME05366, DROME05365, DROME05361, DROME05360, DROME05362, DROME05359, DROME05357, DROME05358
OG0000238	APOSC_12649	DROME08037, DROME08034, DROME08036, DROME08035, DROME08031, DROME08032, DROME08033
OG0000239	APOSC_21234	DROME05270, DROME05269, DROME05271, DROME05268
OG0000239	APOSC_24359, APOSC_24358	DROME19712, DROME19710, DROME19709, DROME19707, DROME19705, DROME19704, DROME19703, DROME19706, DROME19702, DROME19701, DROME19711, DROME19708
OG0000239	APOSC_04749, APOSC_04748, APOSC_04747	DROME03549, DROME03548, DROME03550, DROME03551
