Orthogroup	BRALA	HUMAN
OG0000075	BRALA17353, BRALA17352	HUMAN01424, HUMAN01425, HUMAN26867
OG0000075	BRALA20309	HUMAN05783, HUMAN21047
OG0000075	BRALA25719	HUMAN20335, HUMAN20336, HUMAN20532
OG0000075	BRALA17324	HUMAN26884
OG0000077	BRALA11472	HUMAN18656, HUMAN24161, HUMAN27605, HUMAN27606
OG0000077	BRALA02324	HUMAN21328, HUMAN05501
OG0000077	BRALA30355, BRALA30354, BRALA30353, BRALA27919, BRALA16173, BRALA31380, BRALA32410, BRALA09728, BRALA00278, BRALA10708, BRALA22743, BRALA22531, BRALA27588, BRALA21944, BRALA21945	HUMAN17351, HUMAN03646, HUMAN22147, HUMAN22146
OG0000077	BRALA35746, BRALA06424	HUMAN25299, HUMAN00457, HUMAN21175, HUMAN25341, HUMAN23402
OG0000078	BRALA17098	HUMAN16744
OG0000078	BRALA02325, BRALA02320, BRALA02318, BRALA10234, BRALA02688, BRALA30889, BRALA02317, BRALA11328	HUMAN15000, HUMAN04284, HUMAN06996
OG0000079	BRALA00097, BRALA00109	HUMAN06525, HUMAN07699, HUMAN06526, HUMAN17910, HUMAN26091, HUMAN23848
OG0000079	BRALA18105	HUMAN22600, HUMAN22601, HUMAN24340
OG0000079	BRALA22809	HUMAN13038, HUMAN13039, HUMAN13036, HUMAN07260
OG0000079	BRALA13477	HUMAN14208
OG0000079	BRALA16237, BRALA25844, BRALA16235	HUMAN14194, HUMAN14192
OG0000081	BRALA18450, BRALA18449, BRALA18446, BRALA18452, BRALA05158, BRALA05161	HUMAN03680, HUMAN03679, HUMAN03681, HUMAN03678
OG0000081	BRALA05164, BRALA21995, BRALA12438, BRALA12435	HUMAN13949, HUMAN13947, HUMAN13948, HUMAN27508, HUMAN09549, HUMAN21908, HUMAN19354, HUMAN21352
OG0000081	BRALA35664	HUMAN21909, HUMAN27509
OG0000082	BRALA23665	HUMAN29167
OG0000082	BRALA23991	HUMAN23869
OG0000082	BRALA12024	HUMAN23871
OG0000083	BRALA11838, BRALA11834	HUMAN07535, HUMAN22993
OG0000084	BRALA16357	HUMAN03696
OG0000084	BRALA27744	HUMAN22750, HUMAN17196, HUMAN03227
OG0000085	BRALA10231	HUMAN12866, HUMAN20608, HUMAN17788
OG0000085	BRALA35021	HUMAN13119, HUMAN07215
OG0000085	BRALA20574	HUMAN26172
OG0000085	BRALA19315	HUMAN30084, HUMAN01484, HUMAN25335, HUMAN25334
OG0000085	BRALA25446	HUMAN07214, HUMAN13120
OG0000085	BRALA18829	HUMAN25832
OG0000087	BRALA14258	HUMAN11957
OG0000087	BRALA02414	HUMAN21001
OG0000087	BRALA11394	HUMAN18010
OG0000088	BRALA15338, BRALA01326, BRALA11261, BRALA04185, BRALA11262, BRALA11263, BRALA13073, BRALA15449, BRALA28619, BRALA23225, BRALA05764, BRALA00340, BRALA17728	HUMAN03260, HUMAN04395, HUMAN21618, HUMAN29776, HUMAN11422, HUMAN11423, HUMAN11367
OG0000089	BRALA30280, BRALA11321, BRALA01875, BRALA04469, BRALA29882, BRALA04174, BRALA10340, BRALA11376, BRALA20593	HUMAN21235
OG0000089	BRALA34209, BRALA08976, BRALA35711, BRALA10278, BRALA30045	HUMAN29653, HUMAN25674
OG0000090	BRALA02611	HUMAN24709
OG0000090	BRALA04706	HUMAN28948
OG0000093	BRALA25999, BRALA23972	HUMAN25814, HUMAN25815
OG0000093	BRALA01382, BRALA01380	HUMAN26490, HUMAN26491, HUMAN20914
OG0000094	BRALA34518	HUMAN14813
OG0000094	BRALA09222, BRALA24092	HUMAN02204, HUMAN29518, HUMAN14811
OG0000096	BRALA29898, BRALA29897	HUMAN30343, HUMAN07778, HUMAN21683
OG0000096	BRALA16859	HUMAN06336, HUMAN27289
OG0000096	BRALA08595, BRALA28945	HUMAN06142, HUMAN01455, HUMAN03867, HUMAN06143, HUMAN03866
OG0000096	BRALA02509	HUMAN04201
OG0000096	BRALA24883	HUMAN21561
OG0000097	BRALA14234	HUMAN01224, HUMAN01225, HUMAN01226
OG0000098	BRALA00433	HUMAN15990, HUMAN03957, HUMAN18424, HUMAN19602
OG0000098	BRALA09558	HUMAN28791, HUMAN09489, HUMAN28772, HUMAN28773, HUMAN09201, HUMAN28771
OG0000099	BRALA22450, BRALA22449	HUMAN22987, HUMAN30307, HUMAN05422, HUMAN24115
OG0000099	BRALA35493	HUMAN05424
OG0000099	BRALA15695, BRALA29540	HUMAN15639, HUMAN15638, HUMAN05635
OG0000099	BRALA29541	HUMAN25408, HUMAN00740, HUMAN19390
OG0000101	BRALA27830	HUMAN11236, HUMAN11477, HUMAN11479, HUMAN11478
OG0000101	BRALA35778, BRALA34308	HUMAN22036, HUMAN22037
