Orthogroup	BRALA	OWEFU
OG0000030	BRALA29985, BRALA29147	OFUSG26562.1.p1, OFUSG14908.1.p1, OFUSG24122.1.p1, OFUSG13621.1.p1, OFUSG26418.1.p1, OFUSG03647.1.p1, OFUSG12449.1.p1, OFUSG03648.1.p1, OFUSG03242.1.p1
OG0000030	BRALA06142	OFUSG14128.1.p1, OFUSG14128.2.p1
OG0000031	BRALA28310, BRALA01948, BRALA09437, BRALA32909, BRALA01946, BRALA12064, BRALA09438, BRALA01951, BRALA14885, BRALA09441, BRALA09439, BRALA32910, BRALA01947, BRALA01952, BRALA14882, BRALA23662, BRALA14883, BRALA19306, BRALA05713, BRALA17265, BRALA15256, BRALA15254, BRALA01977, BRALA22606	OFUSG03747.1.p1, OFUSG01964.1.p1
OG0000031	BRALA04543	OFUSG03902.1.p1, OFUSG03902.2.p1
OG0000031	BRALA04547	OFUSG16479.2.p1, OFUSG16479.1.p1
OG0000031	BRALA04610	OFUSG03938.1.p1
OG0000031	BRALA13458, BRALA05046	OFUSG09754.1.p1
OG0000031	BRALA16640	OFUSG12627.1.p1
OG0000031	BRALA28311	OFUSG02210.1.p1
OG0000031	BRALA28586	OFUSG02928.1.p1, OFUSG02926.1.p1
OG0000032	BRALA10240	OFUSG07861.1.p1
OG0000032	BRALA11179, BRALA11177, BRALA09647	OFUSG26521.2.p1, OFUSG26521.1.p1
OG0000032	BRALA04146, BRALA04145, BRALA04144, BRALA00632, BRALA09098, BRALA21017, BRALA21018, BRALA21016, BRALA22581, BRALA14174	OFUSG17627.1.p1, OFUSG17627.2.p1, OFUSG17268.1.p1
OG0000034	BRALA27570	OFUSG15530.3.p1, OFUSG15530.1.p1, OFUSG15530.2.p1
OG0000034	BRALA08901, BRALA03079	OFUSG01833.2.p1, OFUSG01833.1.p1
OG0000034	BRALA17580	OFUSG08780.1.p1
OG0000034	BRALA08885	OFUSG00313.1.p1
OG0000034	BRALA23966	OFUSG10792.1.p1, OFUSG10792.2.p1
OG0000034	BRALA18444	OFUSG08088.1.p1
OG0000034	BRALA02412	OFUSG09735.1.p1
OG0000035	BRALA21367, BRALA35402	OFUSG16461.1.p1
OG0000035	BRALA13925	OFUSG07703.1.p1
OG0000035	BRALA13921	OFUSG07007.1.p1, OFUSG07007.2.p1
OG0000035	BRALA29588	OFUSG07851.1.p1
OG0000035	BRALA13915, BRALA22877	OFUSG25460.1.p1, OFUSG07717.1.p1
OG0000035	BRALA13917	OFUSG07099.1.p1, OFUSG07288.1.p1, OFUSG07098.1.p1
OG0000036	BRALA03126, BRALA19967	OFUSG05112.1.p1
OG0000036	BRALA22400, BRALA22399, BRALA22398, BRALA02193, BRALA22463, BRALA05181	OFUSG06787.1.p1, OFUSG20561.1.p1, OFUSG20712.1.p1, OFUSG08497.1.p1, OFUSG08495.1.p1
OG0000036	BRALA35896, BRALA06754, BRALA31321, BRALA06755, BRALA06753, BRALA18345	OFUSG16630.1.p1, OFUSG16630.2.p1, OFUSG14389.1.p1, OFUSG16691.1.p1
OG0000036	BRALA22402, BRALA22404	OFUSG05272.1.p1
OG0000037	BRALA22282	OFUSG11734.1.p1, OFUSG11735.1.p1, OFUSG11736.1.p1, OFUSG25144.1.p1
OG0000037	BRALA22275	OFUSG11664.2.p1, OFUSG11664.3.p1, OFUSG11664.1.p1
OG0000037	BRALA16388	OFUSG24232.1.p1, OFUSG22475.1.p1
OG0000038	BRALA32346	OFUSG15211.1.p1
OG0000038	BRALA07354	OFUSG09678.1.p1
OG0000038	BRALA07351	OFUSG15797.1.p1
OG0000038	BRALA03789	OFUSG07063.1.p1, OFUSG04821.1.p1, OFUSG19292.1.p1
OG0000038	BRALA13194	OFUSG04771.1.p1
OG0000038	BRALA27417	OFUSG26080.1.p1, OFUSG26080.2.p1
OG0000039	BRALA06993, BRALA34379, BRALA19136, BRALA31749, BRALA29745, BRALA19134, BRALA23918, BRALA06990, BRALA17755, BRALA26668, BRALA19135, BRALA00263, BRALA19137	OFUSG12767.1.p1, OFUSG04725.1.p1
OG0000039	BRALA11768, BRALA25325, BRALA17518, BRALA26162, BRALA32574, BRALA32576, BRALA25316, BRALA21159, BRALA17814, BRALA17816, BRALA17817, BRALA32621, BRALA09388, BRALA21591, BRALA21590, BRALA32620, BRALA26161, BRALA30705, BRALA32623, BRALA17815, BRALA32622, BRALA25326	OFUSG17021.1.p1
OG0000039	BRALA35483	OFUSG19834.1.p1, OFUSG26646.1.p1
OG0000039	BRALA01170	OFUSG13129.1.p1
OG0000039	BRALA17648	OFUSG05314.1.p1
OG0000039	BRALA01164	OFUSG13135.1.p1
OG0000039	BRALA21586	OFUSG21070.1.p1, OFUSG21072.1.p1, OFUSG21071.1.p1, OFUSG07209.1.p1
OG0000039	BRALA02916, BRALA20258, BRALA27882, BRALA01626, BRALA01628, BRALA23751, BRALA01619, BRALA01617, BRALA01627, BRALA01624, BRALA01620, BRALA01618, BRALA04466, BRALA04471, BRALA01927, BRALA16092	OFUSG11857.1.p1
OG0000039	BRALA19542	OFUSG09877.1.p1, OFUSG09877.2.p1, OFUSG09879.1.p1, OFUSG09879.3.p1
OG0000041	BRALA29257	OFUSG24031.1.p1, OFUSG24027.1.p1
