Orthogroup	BRALA	BRAFL
OG0000023	BRALA23600	bflo_12134
OG0000023	BRALA23601	bflo_20667
OG0000023	BRALA02985	bflo_16641
OG0000023	BRALA02983	bflo_17014
OG0000023	BRALA35419, BRALA11100, BRALA28758	bflo_22812
OG0000023	BRALA17881	bflo_03971, bflo_03972, bflo_00874
OG0000023	BRALA21074	bflo_06832
OG0000023	BRALA03421	bflo_14042
OG0000023	BRALA29841	bflo_10033
OG0000023	BRALA06984	bflo_02724
OG0000023	BRALA06983	bflo_02807
OG0000023	BRALA04762	bflo_02853
OG0000023	BRALA33103	bflo_20954
OG0000026	BRALA22923	bflo_14642
OG0000026	BRALA12678, BRALA12677	bflo_14973
OG0000026	BRALA18399, BRALA07898, BRALA07900, BRALA07899	bflo_26853, bflo_07376
OG0000026	BRALA15313	bflo_11818
OG0000026	BRALA17325	bflo_11639
OG0000026	BRALA16217	bflo_05121
OG0000026	BRALA10481, BRALA13063	bflo_13696, bflo_05113, bflo_05112, bflo_05117, bflo_05111, bflo_05116
OG0000026	BRALA15952	bflo_20425, bflo_14521
OG0000026	BRALA05914, BRALA05915, BRALA10202, BRALA12591	bflo_14522, bflo_14520
OG0000026	BRALA01447, BRALA05916, BRALA05917	bflo_10763, bflo_10764, bflo_10766, bflo_10762, bflo_10765
OG0000026	BRALA23569	bflo_21047
OG0000026	BRALA17359	bflo_12073
OG0000026	BRALA09041	bflo_03704, bflo_21877, bflo_14509
OG0000026	BRALA20501	bflo_02973, bflo_03705, bflo_02969
OG0000026	BRALA02475	bflo_17121
OG0000026	BRALA29792	bflo_09675
OG0000026	BRALA23720, BRALA33266, BRALA32596, BRALA29794, BRALA27975, BRALA26635, BRALA07999, BRALA07996	bflo_07770
OG0000026	BRALA27524, BRALA27525	bflo_18066
OG0000026	BRALA11644	bflo_05329, bflo_21515, bflo_21517
OG0000026	BRALA11643	bflo_21247, bflo_21501, bflo_21518, bflo_01508, bflo_00408, bflo_21522, bflo_21831
OG0000026	BRALA01094, BRALA31858	bflo_17285, bflo_17283, bflo_17284
OG0000026	BRALA29917	bflo_05278
OG0000026	BRALA18251	bflo_09823
OG0000026	BRALA01767	bflo_06473
OG0000026	BRALA23099	bflo_14607, bflo_03670, bflo_03671, bflo_14608, bflo_14866, bflo_15396, bflo_15364, bflo_15390, bflo_15388, bflo_15386, bflo_15381
OG0000026	BRALA26971	bflo_09643
OG0000026	BRALA26970	bflo_15362
OG0000026	BRALA13781	bflo_08780
OG0000027	BRALA04074	bflo_07313, bflo_06884
OG0000027	BRALA06095	bflo_21207
OG0000027	BRALA06094	bflo_21232
OG0000027	BRALA06046	bflo_21997
OG0000027	BRALA20610	bflo_16745
OG0000027	BRALA28131	bflo_11436
OG0000027	BRALA26178	bflo_00219
OG0000027	BRALA25170	bflo_00221, bflo_00220
OG0000027	BRALA33815	bflo_22002, bflo_20174
