Orthogroup	DANRE	BRAFL
OG0000056	DANRE01913, DANRE01914, DANRE39460, DANRE39459, DANRE15877, DANRE15878, DANRE15879, DANRE39458, DANRE26297	bflo_25516
OG0000056	DANRE40924, DANRE40923	bflo_15952
OG0000056	DANRE30239	bflo_22428
OG0000057	DANRE01491, DANRE01492, DANRE34768, DANRE34769, DANRE25607, DANRE38933	bflo_15406, bflo_07670, bflo_18359, bflo_16293, bflo_17114, bflo_13221
OG0000058	DANRE17254	bflo_09144
OG0000058	DANRE01466, DANRE01467	bflo_09194
OG0000058	DANRE03528	bflo_23140
OG0000058	DANRE15130, DANRE18090, DANRE05159, DANRE10661, DANRE16833, DANRE17579, DANRE25419, DANRE25420, DANRE03527	bflo_24603, bflo_01016, bflo_16790, bflo_24608, bflo_23137, bflo_07524, bflo_08605, bflo_23941, bflo_23940, bflo_23938, bflo_27442, bflo_23937, bflo_23936, bflo_23939, bflo_23943, bflo_23942, bflo_23935
OG0000058	DANRE30014, DANRE15447	bflo_23048, bflo_23141
OG0000059	DANRE15544, DANRE15545, DANRE15546, DANRE20191, DANRE20192, DANRE20189, DANRE15547, DANRE20190, DANRE08539, DANRE00843	bflo_15172
OG0000059	DANRE23878, DANRE23877, DANRE23876	bflo_21855
OG0000059	DANRE19797, DANRE19798, DANRE19796, DANRE13287, DANRE06156, DANRE06155, DANRE06072, DANRE06071, DANRE00651	bflo_13996, bflo_14747
OG0000060	DANRE15035, DANRE15034, DANRE05268	bflo_01659, bflo_06661
OG0000060	DANRE29003, DANRE24797, DANRE24796, DANRE38454, DANRE38453, DANRE38452, DANRE26104, DANRE12576	bflo_01384
OG0000061	DANRE42668, DANRE35791, DANRE35790, DANRE14876, DANRE23684	bflo_18545
OG0000061	DANRE21357, DANRE21356, DANRE21355, DANRE42236, DANRE42238, DANRE42237, DANRE03323, DANRE26316, DANRE26315	bflo_19266, bflo_18688, bflo_18686, bflo_18896
OG0000061	DANRE16979, DANRE30135, DANRE08363, DANRE08364, DANRE41399, DANRE24234, DANRE26883, DANRE26882, DANRE28200, DANRE36395, DANRE36396, DANRE36397, DANRE03215, DANRE23525, DANRE23526, DANRE28197, DANRE28196, DANRE28198, DANRE28195, DANRE28199, DANRE28194, DANRE28193, DANRE36398, DANRE24481, DANRE24482	bflo_18999, bflo_19344
OG0000061	DANRE26341, DANRE29170	bflo_19609, bflo_18544, bflo_19608, bflo_19290
OG0000062	DANRE08107, DANRE08104, DANRE08105, DANRE08102, DANRE08103, DANRE08106, DANRE08101, DANRE08100, DANRE28562, DANRE28568, DANRE28566, DANRE28565, DANRE28573, DANRE28574, DANRE28576, DANRE28571, DANRE28572, DANRE28569, DANRE28442, DANRE28441, DANRE28577, DANRE28578, DANRE43388, DANRE28579, DANRE28570	bflo_17250, bflo_01624
OG0000062	DANRE18807, DANRE18806	bflo_13529
OG0000063	DANRE15770	bflo_25923
OG0000063	DANRE36896	bflo_25147
OG0000063	DANRE19500, DANRE19501, DANRE11531, DANRE11532, DANRE04204, DANRE04205	bflo_26112, bflo_25384, bflo_25322, bflo_25330, bflo_25162, bflo_25268, bflo_25241, bflo_25374, bflo_05397, bflo_25266, bflo_25753
OG0000066	DANRE40339, DANRE40338, DANRE40337, DANRE40336	bflo_04761, bflo_11842
OG0000067	DANRE18991	bflo_06923, bflo_06916, bflo_24559, bflo_02686, bflo_17376, bflo_24606, bflo_18581, bflo_07727, bflo_04022, bflo_03936
OG0000069	DANRE26091	bflo_09323, bflo_20543, bflo_20542, bflo_20541, bflo_27333, bflo_05086, bflo_23255, bflo_23256
OG0000069	DANRE26081, DANRE37466	bflo_26384
OG0000069	DANRE37428, DANRE26098	bflo_23212
OG0000069	DANRE37444, DANRE37413, DANRE37438, DANRE37456, DANRE26073	bflo_01849
OG0000069	DANRE26154	bflo_23216, bflo_23215
OG0000069	DANRE26088	bflo_17459
