Orthogroup	DANRE	APOSJ_ok
OG0000058	DANRE15130, DANRE18090, DANRE05159, DANRE10661, DANRE16833, DANRE17579, DANRE25419, DANRE25420, DANRE03527	APOSJ_01990, APOSJ_45171, APOSJ_56047, APOSJ_62157, APOSJ_01986, APOSJ_12231, APOSJ_01994, APOSJ_62154, APOSJ_01988, APOSJ_62155
OG0000059	DANRE23878, DANRE23877, DANRE23876	APOSJ_34977, APOSJ_41112, APOSJ_15943, APOSJ_15944
OG0000059	DANRE19797, DANRE19798, DANRE19796, DANRE13287, DANRE06156, DANRE06155, DANRE06072, DANRE06071, DANRE00651	APOSJ_00361, APOSJ_32459
OG0000060	DANRE15035, DANRE15034, DANRE05268	APOSJ_62502, APOSJ_14511, APOSJ_62507, APOSJ_14509, APOSJ_53301, APOSJ_53299, APOSJ_62506, APOSJ_08035, APOSJ_62505
OG0000060	DANRE29003, DANRE24797, DANRE24796, DANRE38454, DANRE38453, DANRE38452, DANRE26104, DANRE12576	APOSJ_24727, APOSJ_46788
OG0000061	DANRE42668, DANRE35791, DANRE35790, DANRE14876, DANRE23684	APOSJ_58339, APOSJ_18222, APOSJ_18226, APOSJ_18220, APOSJ_58336, APOSJ_24082, APOSJ_18227, APOSJ_18225, APOSJ_18223, APOSJ_24083, APOSJ_24098, APOSJ_58337, APOSJ_58338, APOSJ_18224
OG0000061	DANRE21357, DANRE21356, DANRE21355, DANRE42236, DANRE42238, DANRE42237, DANRE03323, DANRE26316, DANRE26315, DANRE16979, DANRE30135, DANRE08363, DANRE08364, DANRE41399, DANRE24234, DANRE26883, DANRE26882, DANRE28200, DANRE36395, DANRE36396, DANRE36397, DANRE03215, DANRE23525, DANRE23526, DANRE28197, DANRE28196, DANRE28198, DANRE28195, DANRE28199, DANRE28194, DANRE28193, DANRE36398, DANRE24481, DANRE24482	APOSJ_04549, APOSJ_04550
OG0000061	DANRE26341, DANRE29170	APOSJ_15713, APOSJ_15716, APOSJ_15714, APOSJ_33562, APOSJ_15715, APOSJ_53824, APOSJ_08464, APOSJ_14395
OG0000062	DANRE08107, DANRE08104, DANRE08105, DANRE08102, DANRE08103, DANRE08106, DANRE08101, DANRE08100, DANRE28562, DANRE28568, DANRE28566, DANRE28565, DANRE28573, DANRE28574, DANRE28576, DANRE28571, DANRE28572, DANRE28569, DANRE28442, DANRE28441, DANRE28577, DANRE28578, DANRE43388, DANRE28579, DANRE28570	APOSJ_36645, APOSJ_36644, APOSJ_36646, APOSJ_36641, APOSJ_36638, APOSJ_36643, APOSJ_36647, APOSJ_36642, APOSJ_61539, APOSJ_03520, APOSJ_50534, APOSJ_50538, APOSJ_50533, APOSJ_50536, APOSJ_39442
OG0000062	DANRE18807, DANRE18806	APOSJ_42177, APOSJ_42181, APOSJ_42180, APOSJ_42182
OG0000063	DANRE20941, DANRE20940, DANRE20939, DANRE43110, DANRE15766, DANRE15767, DANRE15768, DANRE15769, DANRE26798, DANRE26796, DANRE26797, DANRE35514, DANRE35513	APOSJ_62799, APOSJ_60703
OG0000063	DANRE30783, DANRE30785, DANRE30782, DANRE01805, DANRE01806, DANRE36784, DANRE36785	APOSJ_45342, APOSJ_45340, APOSJ_35186, APOSJ_45343, APOSJ_45341, APOSJ_16611
OG0000063	DANRE15770	APOSJ_17401, APOSJ_34559, APOSJ_34558, APOSJ_34560, APOSJ_41274, APOSJ_48780
OG0000063	DANRE19500, DANRE19501, DANRE11531, DANRE11532, DANRE04204, DANRE04205, DANRE21781	APOSJ_58298, APOSJ_58293, APOSJ_19476
OG0000065	DANRE33929, DANRE19442, DANRE11091, DANRE13549, DANRE13808, DANRE13807, DANRE30234, DANRE30232, DANRE30233, DANRE39633, DANRE39634, DANRE39641, DANRE39631, DANRE39632, DANRE39635, DANRE39637, DANRE39636, DANRE39638, DANRE39908	APOSJ_35430, APOSJ_06253
OG0000066	DANRE40339, DANRE40338, DANRE40337, DANRE40336	APOSJ_56697, APOSJ_30328
