Orthogroup	APOSJ_ok	ASTMX
OG0000062	APOSJ_36645, APOSJ_36644, APOSJ_36646, APOSJ_36641, APOSJ_36638, APOSJ_36643, APOSJ_36647, APOSJ_36642, APOSJ_61539, APOSJ_03520, APOSJ_50534, APOSJ_50538, APOSJ_50533, APOSJ_50536, APOSJ_39442	ASTMX05024, ASTMX02340, ASTMX02341, ASTMX02343, ASTMX02342
OG0000062	APOSJ_42177, APOSJ_42181, APOSJ_42180, APOSJ_42182	ASTMX01260
OG0000063	APOSJ_62799, APOSJ_60703	ASTMX13776, ASTMX04927, ASTMX01608, ASTMX01645, ASTMX00504, ASTMX10324
OG0000063	APOSJ_45342, APOSJ_45340, APOSJ_35186, APOSJ_45343, APOSJ_45341, APOSJ_16611	ASTMX11259, ASTMX01032
OG0000063	APOSJ_17401, APOSJ_34559, APOSJ_34558, APOSJ_34560, APOSJ_41274, APOSJ_48780	ASTMX13777, ASTMX12583
OG0000063	APOSJ_58298, APOSJ_58293, APOSJ_19476	ASTMX10350, ASTMX13375, ASTMX12584
OG0000065	APOSJ_35430, APOSJ_06253	ASTMX13708, ASTMX15083, ASTMX08041, ASTMX15226, ASTMX22995, ASTMX22138, ASTMX12818, ASTMX13454
OG0000066	APOSJ_56697, APOSJ_30328	ASTMX01776
OG0000067	APOSJ_18931, APOSJ_56850, APOSJ_56847, APOSJ_06153, APOSJ_13448, APOSJ_19493, APOSJ_58325, APOSJ_58331, APOSJ_58341, APOSJ_48159, APOSJ_48158, APOSJ_48156, APOSJ_19490, APOSJ_19487, APOSJ_13449, APOSJ_13447, APOSJ_13446, APOSJ_13442, APOSJ_13444, APOSJ_13443, APOSJ_13445, APOSJ_07651, APOSJ_07650, APOSJ_07653, APOSJ_07654, APOSJ_13441, APOSJ_11553, APOSJ_07655, APOSJ_07652, APOSJ_12441, APOSJ_12440, APOSJ_22342, APOSJ_56300, APOSJ_56301, APOSJ_56298, APOSJ_56299	ASTMX12120, ASTMX00316, ASTMX18001, ASTMX19454
OG0000068	APOSJ_18613	ASTMX22587
OG0000070	APOSJ_54993	ASTMX03868, ASTMX11850
OG0000070	APOSJ_32199, APOSJ_32200, APOSJ_19014, APOSJ_41483, APOSJ_41485, APOSJ_41484, APOSJ_45156, APOSJ_39050, APOSJ_15810, APOSJ_02571, APOSJ_07700, APOSJ_07702, APOSJ_07701	ASTMX17316, ASTMX02948
OG0000072	APOSJ_38815, APOSJ_48482	ASTMX19895, ASTMX03692, ASTMX11241
OG0000072	APOSJ_48834, APOSJ_48835, APOSJ_48833	ASTMX11250, ASTMX11618
OG0000073	APOSJ_38490, APOSJ_38489	ASTMX01961
OG0000074	APOSJ_13143	ASTMX16165, ASTMX17638, ASTMX00966
OG0000074	APOSJ_54927, APOSJ_51986, APOSJ_40639, APOSJ_38988, APOSJ_51984, APOSJ_54925	ASTMX12476
OG0000074	APOSJ_06601, APOSJ_29080, APOSJ_29087, APOSJ_64653, APOSJ_20688, APOSJ_48776, APOSJ_18171, APOSJ_07443, APOSJ_11506	ASTMX07079, ASTMX08304
OG0000075	APOSJ_20337, APOSJ_34520, APOSJ_34522, APOSJ_34524, APOSJ_34523, APOSJ_34521, APOSJ_34519, APOSJ_20338, APOSJ_34518, APOSJ_17256	ASTMX13833, ASTMX15058
