Orthogroup	YEAST	AENJA_ok
OG0001236	YEAST03325, YEAST02687, YEAST03269	AENJA_12409, AENJA_05080
OG0001237	YEAST04380	AENJA_05566, AENJA_19599
OG0001238	YEAST04481	AENJA_07960, AENJA_05667
OG0001241	YEAST02002	AENJA_21346
OG0001241	YEAST03967, YEAST01074	AENJA_07588
OG0001243	YEAST00739, YEAST05004	AENJA_09040
OG0001249	YEAST01062, YEAST02067	AENJA_17683
OG0001250	YEAST02968, YEAST01339	AENJA_18393
OG0001251	YEAST00750	AENJA_20006
OG0001253	YEAST03998	AENJA_21103
OG0001254	YEAST04309	AENJA_25593
OG0001262	YEAST00911	AENJA_25759, AENJA_02100
OG0001263	YEAST00172	AENJA_02283, AENJA_25444
OG0001268	YEAST03495	AENJA_03712
OG0001270	YEAST01703	AENJA_04208
OG0001270	YEAST02398	AENJA_21003
OG0001271	YEAST05227, YEAST00662	AENJA_04651
OG0001278	YEAST01893	AENJA_09367, AENJA_15562
OG0001279	YEAST03070	AENJA_09382
OG0001280	YEAST00846	AENJA_11194
OG0001282	YEAST03744	AENJA_12223
OG0001284	YEAST00567, YEAST01498	AENJA_14056, AENJA_21135
OG0001286	YEAST00588, YEAST01486, YEAST03604	AENJA_16309
OG0001291	YEAST04453, YEAST04334	AENJA_21434
OG0001300	YEAST01098	AENJA_00411
OG0001302	YEAST02328	AENJA_13024
OG0001302	YEAST00299	AENJA_01840
OG0001310	YEAST00887	AENJA_06272, AENJA_10879
OG0001318	YEAST03712	AENJA_09435
OG0001319	YEAST01678	AENJA_09605
OG0001321	YEAST02280, YEAST01901	AENJA_14609
OG0001322	YEAST06128	AENJA_15110, AENJA_16813
OG0001324	YEAST00078	AENJA_15995
OG0001325	YEAST00793	AENJA_16492, AENJA_18977
OG0001326	YEAST05395	AENJA_16742, AENJA_18964
OG0001327	YEAST03176	AENJA_18352, AENJA_26627
OG0001332	YEAST03929, YEAST02705, YEAST00687	AENJA_23263
