Orthogroup	YEAST	MOUSE
OG0000256	YEAST00266	MOUSE25569, MOUSE48599, MOUSE19546, MOUSE27729, MOUSE27728, MOUSE30485, MOUSE30484
OG0000258	YEAST00118	MOUSE05945, MOUSE42102, MOUSE42101, MOUSE05944, MOUSE46166, MOUSE46165, MOUSE42103, MOUSE11272, MOUSE11273, MOUSE11274, MOUSE11276, MOUSE11275, MOUSE11271, MOUSE24985, MOUSE24984, MOUSE07336, MOUSE18772
OG0000260	YEAST04323	MOUSE46803, MOUSE07000, MOUSE06999, MOUSE52627, MOUSE52624, MOUSE52625, MOUSE12750, MOUSE46802, MOUSE03191, MOUSE46801, MOUSE03189, MOUSE03190, MOUSE03188, MOUSE52628
OG0000265	YEAST03885, YEAST03714	MOUSE15187, MOUSE15189, MOUSE15188
OG0000272	YEAST02076, YEAST01066	MOUSE04533, MOUSE06800, MOUSE06802, MOUSE06801, MOUSE34249, MOUSE13424, MOUSE28648, MOUSE38225, MOUSE35816
OG0000273	YEAST05751	MOUSE48517
OG0000278	YEAST03847	MOUSE03879, MOUSE37958
OG0000278	YEAST03806	MOUSE48469, MOUSE32002, MOUSE19188
OG0000278	YEAST04060	MOUSE03084
OG0000278	YEAST01107	MOUSE12425
OG0000284	YEAST05621	MOUSE31918, MOUSE17694, MOUSE17693, MOUSE50359, MOUSE50358, MOUSE50357, MOUSE50360, MOUSE50361, MOUSE31385, MOUSE32647, MOUSE32649, MOUSE32646, MOUSE32648, MOUSE32650
OG0000289	YEAST00645	MOUSE09225, MOUSE09226, MOUSE52041, MOUSE52040, MOUSE52039, MOUSE33710, MOUSE33709, MOUSE10526, MOUSE10525, MOUSE52131, MOUSE52130
OG0000305	YEAST04899	MOUSE02286, MOUSE02288, MOUSE02287, MOUSE35196, MOUSE35195, MOUSE35197, MOUSE35194, MOUSE13890, MOUSE22497, MOUSE22496, MOUSE14678
OG0000308	YEAST02548	MOUSE35252, MOUSE35253, MOUSE26283, MOUSE43439, MOUSE43438, MOUSE49040, MOUSE34117, MOUSE10045, MOUSE10046
