Orthogroup	PFLAV	BRAFL
OG0000036	TCONS_00008906.p1	bflo_13764, bflo_12886, bflo_13765, bflo_13767, bflo_03188
OG0000036	TCONS_00004743.p1, TCONS_00047870.p1, TCONS_00047869.p1, TCONS_00052470.p1, TCONS_00042048.p1, TCONS_00042050.p1, TCONS_00042049.p1, TCONS_00043406.p1	bflo_08259, bflo_08260, bflo_16423, bflo_16325
OG0000036	TCONS_00007681.p1	bflo_12806, bflo_12805
OG0000037	TCONS_00011439.p1, TCONS_00011440.p1	bflo_18550, bflo_02879
OG0000037	TCONS_00011219.p1, TCONS_00011218.p1	bflo_10999
OG0000037	TCONS_00017535.p1	bflo_01342
OG0000037	TCONS_00027658.p1, TCONS_00004627.p1, TCONS_00009673.p1	bflo_10180
OG0000038	TCONS_00000411.p1	bflo_04809
OG0000038	TCONS_00048433.p1	bflo_16371
OG0000038	TCONS_00019232.p2, TCONS_00028396.p1	bflo_18868
OG0000038	TCONS_00028399.p1, TCONS_00028398.p1	bflo_18833
OG0000038	TCONS_00001544.p1	bflo_16788
OG0000039	TCONS_00053909.p1	bflo_25339
OG0000039	TCONS_00044047.p1	bflo_22047
OG0000039	TCONS_00008253.p1	bflo_13127, bflo_13500
OG0000039	TCONS_00044435.p1, TCONS_00042739.p1, TCONS_00042734.p1	bflo_25066, bflo_24169
OG0000039	TCONS_00053908.p1	bflo_26070
OG0000039	TCONS_00011057.p1	bflo_06186
OG0000039	TCONS_00003433.p1	bflo_13135, bflo_00692, bflo_16063, bflo_05536, bflo_26754, bflo_26837, bflo_07279, bflo_07260, bflo_07251, bflo_26843, bflo_07252, bflo_25456, bflo_04828, bflo_25467, bflo_08429, bflo_04543, bflo_04541, bflo_25412
OG0000039	TCONS_00014910.p1	bflo_15832
OG0000040	TCONS_00024097.p1, TCONS_00024098.p1, TCONS_00045509.p1, TCONS_00045506.p1, TCONS_00045516.p1, TCONS_00045517.p1, TCONS_00045514.p1, TCONS_00045510.p1, TCONS_00045512.p1, TCONS_00046641.p1, TCONS_00045518.p1, TCONS_00046639.p1, TCONS_00046638.p1, TCONS_00046635.p1, TCONS_00046634.p1, TCONS_00046632.p1, TCONS_00046631.p1, TCONS_00046636.p1, TCONS_00046637.p1, TCONS_00046648.p1, TCONS_00046649.p1, TCONS_00046633.p1, TCONS_00046630.p1, TCONS_00046629.p1	bflo_03642, bflo_03265, bflo_03263, bflo_03262, bflo_09253, bflo_09254, bflo_10559, bflo_12515, bflo_12514, bflo_21148, bflo_10618, bflo_07354, bflo_26520, bflo_13862, bflo_03226, bflo_18603, bflo_08965, bflo_03641, bflo_03272
OG0000041	TCONS_00024462.p1	bflo_09009, bflo_26911, bflo_03344, bflo_12945
OG0000041	TCONS_00046856.p1	bflo_05956
OG0000042	TCONS_00042309.p1	bflo_01922, bflo_01196, bflo_01197
OG0000043	TCONS_00039125.p1	bflo_23236, bflo_18646
OG0000043	TCONS_00033828.p1	bflo_23211, bflo_07587
OG0000043	TCONS_00013937.p1, TCONS_00013685.p1	bflo_23226, bflo_23242, bflo_23238, bflo_23225, bflo_23224
OG0000043	TCONS_00023271.p1	bflo_19214
OG0000044	TCONS_00051346.p1, TCONS_00051348.p1, TCONS_00053656.p1	bflo_09762
