Orthogroup	CAEEL	NEMVE
OG0000209	CAEEL07432	NEMVE04011, NEMVE00628, NEMVE03484, NEMVE21050, NEMVE16290, NEMVE16425, NEMVE18816
OG0000210	CAEEL19469	NEMVE08730
OG0000211	CAEEL15290	NEMVE08412
OG0000211	CAEEL01111, CAEEL01112	NEMVE13225
OG0000211	CAEEL02311	NEMVE10733
OG0000218	CAEEL07824, CAEEL20213	NEMVE06667, NEMVE11926, NEMVE02677
OG0000218	CAEEL19795	NEMVE00623
OG0000221	CAEEL06648	NEMVE05724
OG0000223	CAEEL01621, CAEEL00892	NEMVE21368, NEMVE09090
OG0000225	CAEEL00458, CAEEL19815, CAEEL15154, CAEEL15740, CAEEL15741, CAEEL19370, CAEEL18881	NEMVE22802, NEMVE01960
OG0000226	CAEEL12318	NEMVE25439, NEMVE15006, NEMVE10381, NEMVE25655
OG0000226	CAEEL10068, CAEEL15041	NEMVE09338, NEMVE02942, NEMVE04143, NEMVE15524
OG0000227	CAEEL19645	NEMVE04785, NEMVE09031, NEMVE06657, NEMVE07158, NEMVE07017, NEMVE03569, NEMVE03503
OG0000229	CAEEL06197, CAEEL17603, CAEEL13012, CAEEL06557, CAEEL18948, CAEEL14398, CAEEL00944, CAEEL00539, CAEEL02569, CAEEL04344, CAEEL20487, CAEEL15045, CAEEL08855, CAEEL08478	NEMVE15066, NEMVE11440, NEMVE07740, NEMVE17626, NEMVE18164, NEMVE17629
OG0000230	CAEEL14845, CAEEL19792	NEMVE08205
OG0000230	CAEEL16226, CAEEL13679, CAEEL03009, CAEEL10796, CAEEL05825	NEMVE02989, NEMVE11521
OG0000230	CAEEL03884, CAEEL05141, CAEEL04123, CAEEL04876	NEMVE07243
OG0000231	CAEEL08481	NEMVE09601, NEMVE01545, NEMVE09855
