Orthogroup	CAEEL	SCHMD
OG0000277	CAEEL00092, CAEEL02855	SCHMD14857, SCHMD14380, SCHMD02171, SCHMD17662
OG0000278	CAEEL07099	SCHMD04708, SCHMD14538
OG0000280	CAEEL11652	SCHMD09460
OG0000282	CAEEL11864	SCHMD16848, SCHMD05137, SCHMD15635, SCHMD25636, SCHMD25893
OG0000282	CAEEL04645	SCHMD28325
OG0000284	CAEEL18846	SCHMD23360, SCHMD08213
OG0000285	CAEEL00191	SCHMD29037
OG0000287	CAEEL19227, CAEEL19907, CAEEL20741, CAEEL18156	SCHMD20375, SCHMD22052, SCHMD09584, SCHMD21912, SCHMD24074, SCHMD15817, SCHMD20976, SCHMD00675, SCHMD16477, SCHMD24758, SCHMD25574
OG0000297	CAEEL01293, CAEEL01292, CAEEL02458, CAEEL02457, CAEEL05755, CAEEL02487, CAEEL02488	SCHMD20516, SCHMD13828, SCHMD25287, SCHMD13445, SCHMD23464, SCHMD29160, SCHMD28068, SCHMD13468, SCHMD18296, SCHMD12650, SCHMD13191, SCHMD26237, SCHMD06563, SCHMD06699, SCHMD07648, SCHMD13467, SCHMD19057
OG0000305	CAEEL19499	SCHMD22293
OG0000305	CAEEL15162, CAEEL10872, CAEEL15163	SCHMD01974, SCHMD04764, SCHMD01975
OG0000306	CAEEL11447, CAEEL11444, CAEEL11445	SCHMD02490
OG0000306	CAEEL11448	SCHMD17729
OG0000307	CAEEL02021, CAEEL19162, CAEEL00356, CAEEL00385, CAEEL16918	SCHMD17178
OG0000308	CAEEL00748	SCHMD28268, SCHMD26369, SCHMD14069, SCHMD01003, SCHMD00895
OG0000310	CAEEL02560	SCHMD12443
OG0000312	CAEEL19323	SCHMD21295, SCHMD02452
OG0000313	CAEEL12617	SCHMD20212
OG0000313	CAEEL06343	SCHMD00975, SCHMD00972
OG0000314	CAEEL05241	SCHMD02240
OG0000315	CAEEL07409	SCHMD06241, SCHMD10370, SCHMD02485, SCHMD15459
OG0000315	CAEEL07609	SCHMD17654
OG0000315	CAEEL07292	SCHMD01939, SCHMD29683
OG0000316	CAEEL01799	SCHMD10615, SCHMD19154
OG0000319	CAEEL10346	SCHMD18991
OG0000321	CAEEL19255	SCHMD04699, SCHMD05278
OG0000322	CAEEL18855, CAEEL09291, CAEEL09109	SCHMD03845, SCHMD03842
OG0000323	CAEEL08030	SCHMD20297, SCHMD05058, SCHMD04045, SCHMD21571, SCHMD14125
OG0000325	CAEEL01448, CAEEL10554	SCHMD10722, SCHMD23724, SCHMD17815, SCHMD15286, SCHMD10721, SCHMD23725, SCHMD23881, SCHMD17816
OG0000328	CAEEL20663	SCHMD15355, SCHMD24247, SCHMD15304
OG0000329	CAEEL05342	SCHMD12472, SCHMD24777, SCHMD26844, SCHMD15152
OG0000332	CAEEL10794	SCHMD26513, SCHMD25129, SCHMD25620, SCHMD25799, SCHMD18311
OG0000333	CAEEL20574	SCHMD26037, SCHMD21228
OG0000338	CAEEL02726	SCHMD23566, SCHMD22193, SCHMD20089
OG0000339	CAEEL05344	SCHMD10973
