Orthogroup	DROME	OWEFU
OG0000079	DROME01298	OFUSG19660.3.p1, OFUSG19660.2.p1, OFUSG19660.1.p1
OG0000081	DROME17351, DROME17349, DROME17350, DROME17347, DROME17348, DROME17352, DROME17353, DROME01507, DROME01508, DROME09227, DROME00965, DROME00434, DROME00435, DROME00431, DROME03003, DROME06593	OFUSG09486.1.p1, OFUSG22553.1.p1, OFUSG14298.1.p1, OFUSG14123.1.p1
OG0000081	DROME19345, DROME19344	OFUSG22027.1.p1
OG0000082	DROME20298	OFUSG08036.1.p1
OG0000082	DROME05998	OFUSG05603.1.p1
OG0000082	DROME11174, DROME11173, DROME15008	OFUSG21176.1.p1, OFUSG21175.1.p1
OG0000082	DROME14666, DROME14429, DROME14428, DROME14566, DROME14568, DROME14567, DROME14565, DROME16705	OFUSG21079.1.p1, OFUSG10604.1.p1
OG0000083	DROME17112	OFUSG03380.1.p1, OFUSG03380.2.p1
OG0000083	DROME20486, DROME20487	OFUSG00967.1.p1
OG0000084	DROME12251	OFUSG06238.1.p1, OFUSG06238.2.p1
OG0000084	DROME13292, DROME13291, DROME13289, DROME13290	OFUSG05733.1.p1, OFUSG06631.1.p1
OG0000084	DROME09544	OFUSG10435.1.p1
OG0000084	DROME17344, DROME17343, DROME17345	OFUSG10110.1.p1, OFUSG10110.2.p1, OFUSG10016.2.p1, OFUSG10016.1.p1
OG0000084	DROME14181, DROME14182, DROME17832, DROME17834, DROME17833	OFUSG10136.1.p1
OG0000085	DROME19132, DROME19130, DROME19134, DROME19131, DROME19133	OFUSG24119.1.p1
OG0000085	DROME00999, DROME00998, DROME01000	OFUSG04918.1.p1
OG0000085	DROME19740	OFUSG15502.1.p1
OG0000085	DROME10832, DROME10831	OFUSG00479.1.p1
OG0000086	DROME14954	OFUSG04354.1.p1, OFUSG19606.1.p1
OG0000087	DROME22088	OFUSG13953.1.p1, OFUSG13950.1.p1, OFUSG13949.1.p1
OG0000087	DROME06460	OFUSG13948.1.p1
OG0000087	DROME21450	OFUSG16017.1.p1, OFUSG16017.2.p1
OG0000087	DROME03097	OFUSG04733.1.p1, OFUSG16016.1.p1
OG0000087	DROME08842	OFUSG06740.2.p1, OFUSG06740.1.p1
OG0000087	DROME09495	OFUSG18253.1.p1, OFUSG18250.1.p1, OFUSG19306.1.p1, OFUSG19306.2.p1, OFUSG19309.2.p1, OFUSG19309.1.p1
