Orthogroup	MOUSE	BRAFL
OG0000048	MOUSE06701	bflo_20353
OG0000048	MOUSE49641, MOUSE49640, MOUSE49639	bflo_12849
OG0000049	MOUSE00124, MOUSE00123, MOUSE44987, MOUSE44986	bflo_17665
OG0000049	MOUSE52606, MOUSE52607, MOUSE52608, MOUSE35311	bflo_12099
OG0000049	MOUSE03391, MOUSE17233, MOUSE17232, MOUSE39154, MOUSE39153, MOUSE40910, MOUSE40909	bflo_12470, bflo_11081
OG0000049	MOUSE40908, MOUSE39155	bflo_17096, bflo_11847
OG0000051	MOUSE40003	bflo_08711
OG0000051	MOUSE52051, MOUSE52052, MOUSE21678, MOUSE21679, MOUSE52055, MOUSE52053, MOUSE52054, MOUSE52063, MOUSE52065, MOUSE52064	bflo_18195, bflo_17371
OG0000053	MOUSE33288	bflo_21932, bflo_21926, bflo_18879, bflo_19026
OG0000054	MOUSE48109	bflo_04388
OG0000054	MOUSE33537, MOUSE33539, MOUSE33538, MOUSE33523, MOUSE33524, MOUSE33525, MOUSE33528, MOUSE33529, MOUSE33527, MOUSE33526, MOUSE33530, MOUSE33531, MOUSE33536, MOUSE33533, MOUSE33535, MOUSE33532, MOUSE33534	bflo_20488, bflo_15707, bflo_15703, bflo_15905, bflo_15752, bflo_23344, bflo_22720, bflo_19106, bflo_09085, bflo_09133, bflo_05501, bflo_06007, bflo_03912, bflo_17229, bflo_17691, bflo_18295, bflo_18294, bflo_26044, bflo_24306, bflo_10355, bflo_13684, bflo_13746, bflo_10411, bflo_13726, bflo_13740, bflo_13675, bflo_13693, bflo_25983, bflo_26141, bflo_25284
OG0000055	MOUSE03681, MOUSE08929	bflo_23399
OG0000056	MOUSE52879	bflo_12398
OG0000056	MOUSE36572, MOUSE36574, MOUSE36579, MOUSE36583, MOUSE36576, MOUSE36586, MOUSE36571, MOUSE36575, MOUSE36582, MOUSE36587, MOUSE36573, MOUSE36590, MOUSE36585, MOUSE36584, MOUSE36589, MOUSE36588, MOUSE36577, MOUSE36580, MOUSE36578, MOUSE36581	bflo_25516
OG0000056	MOUSE37995, MOUSE37994	bflo_15952
OG0000056	MOUSE36570	bflo_22428
OG0000057	MOUSE10186, MOUSE10187, MOUSE10188, MOUSE44717, MOUSE44718	bflo_15406, bflo_07670, bflo_18359, bflo_16293, bflo_17114, bflo_13221
OG0000057	MOUSE39640	bflo_18987
OG0000058	MOUSE17481	bflo_24517
OG0000058	MOUSE21857, MOUSE21254	bflo_09194
OG0000058	MOUSE10546	bflo_23140
OG0000058	MOUSE49898, MOUSE27373, MOUSE40443, MOUSE20899	bflo_24603, bflo_01016, bflo_16790, bflo_24608, bflo_23137, bflo_07524, bflo_08605, bflo_23941, bflo_23940, bflo_23938, bflo_27442, bflo_23937, bflo_23936, bflo_23939, bflo_23943, bflo_23942, bflo_23935
OG0000058	MOUSE06401, MOUSE38608	bflo_23048, bflo_23141
OG0000058	MOUSE40444	bflo_00086
OG0000059	MOUSE55069, MOUSE29771, MOUSE29770, MOUSE29769	bflo_15172
OG0000059	MOUSE52262, MOUSE52259, MOUSE52258	bflo_21855
OG0000059	MOUSE50099, MOUSE50101, MOUSE29617, MOUSE09593, MOUSE09594, MOUSE09591, MOUSE09588, MOUSE09589	bflo_13996, bflo_14747
OG0000060	MOUSE52080, MOUSE52079	bflo_01659, bflo_06661
OG0000060	MOUSE44147, MOUSE44148, MOUSE44454, MOUSE44455, MOUSE01901, MOUSE01902	bflo_01384
OG0000061	MOUSE26618, MOUSE38907, MOUSE38906	bflo_18545
OG0000061	MOUSE22377, MOUSE22378, MOUSE53042	bflo_19266, bflo_18688, bflo_18686, bflo_18896
OG0000061	MOUSE06425, MOUSE42762, MOUSE17361, MOUSE03955, MOUSE03956, MOUSE23297, MOUSE23298, MOUSE53307, MOUSE39884, MOUSE39883, MOUSE39889, MOUSE39886, MOUSE39890, MOUSE39885, MOUSE39887, MOUSE39892, MOUSE39891, MOUSE08504, MOUSE08505	bflo_18999, bflo_19344
OG0000061	MOUSE39874, MOUSE39873, MOUSE39878, MOUSE39876, MOUSE39877, MOUSE05785	bflo_19609, bflo_18544, bflo_19608, bflo_19290
OG0000062	MOUSE41585, MOUSE41584, MOUSE41295, MOUSE41296, MOUSE41297, MOUSE41294, MOUSE41586	bflo_17250, bflo_01624
OG0000062	MOUSE52081	bflo_13529
OG0000063	MOUSE33697	bflo_25923
OG0000063	MOUSE27866, MOUSE27867, MOUSE46812, MOUSE46810, MOUSE46811, MOUSE46809	bflo_26112, bflo_25384, bflo_25322, bflo_25330, bflo_25162, bflo_25268, bflo_25241, bflo_25374, bflo_05397, bflo_25266, bflo_25753
OG0000066	MOUSE53763	bflo_04761, bflo_11842
OG0000066	MOUSE13756	bflo_01779, bflo_01780, bflo_03911, bflo_17245, bflo_19059, bflo_20701, bflo_20080, bflo_20702, bflo_02867
OG0000067	MOUSE10267	bflo_06923, bflo_06916, bflo_24559, bflo_02686, bflo_17376, bflo_24606, bflo_18581, bflo_07727, bflo_04022, bflo_03936
