Orthogroup	MOUSE	CAEEL
OG0000132	MOUSE14073	CAEEL19325, CAEEL13180, CAEEL10482, CAEEL00965, CAEEL13910, CAEEL20417
OG0000137	MOUSE48199, MOUSE48198, MOUSE48197, MOUSE48196	CAEEL18416, CAEEL11601
OG0000137	MOUSE18094, MOUSE18096	CAEEL10559
OG0000137	MOUSE18095	CAEEL15802, CAEEL15801
OG0000141	MOUSE07490	CAEEL09688
OG0000142	MOUSE49876, MOUSE19688	CAEEL19259
OG0000142	MOUSE28967	CAEEL08844, CAEEL07256, CAEEL07175
OG0000147	MOUSE23083, MOUSE23081, MOUSE23080, MOUSE23084, MOUSE23082, MOUSE34846, MOUSE34845, MOUSE34844	CAEEL04811
OG0000147	MOUSE09313, MOUSE09314, MOUSE09315, MOUSE09317, MOUSE12666, MOUSE12667	CAEEL18488
OG0000148	MOUSE54278, MOUSE54277, MOUSE54279, MOUSE40870, MOUSE40868, MOUSE40869, MOUSE40871, MOUSE07014, MOUSE07018, MOUSE07013, MOUSE23507, MOUSE23504, MOUSE23506, MOUSE23508, MOUSE23505, MOUSE23503	CAEEL09804
OG0000148	MOUSE23498	CAEEL04213
OG0000149	MOUSE10061, MOUSE10064, MOUSE16718	CAEEL02847
OG0000149	MOUSE44762, MOUSE19464	CAEEL15543, CAEEL15991, CAEEL08694
OG0000154	MOUSE16271, MOUSE16267, MOUSE16269, MOUSE16270	CAEEL02932
