Orthogroup	AENJA_ok	YEAST
OG0001186	AENJA_21307, AENJA_18825	YEAST04605, YEAST01886
OG0001197	AENJA_00493	YEAST01499
OG0001201	AENJA_02210	YEAST05452
OG0001204	AENJA_04033, AENJA_20148	YEAST05200
OG0001207	AENJA_15259	YEAST03225, YEAST00090
OG0001207	AENJA_18056, AENJA_07276	YEAST04258
OG0001210	AENJA_18956	YEAST05511
OG0001210	AENJA_09592, AENJA_09591	YEAST02318
OG0001212	AENJA_09959, AENJA_14546, AENJA_09958, AENJA_09956	YEAST03971
OG0001214	AENJA_24301, AENJA_11388	YEAST00577
OG0001216	AENJA_16979	YEAST00145
OG0001219	AENJA_18562	YEAST03867
OG0001236	AENJA_12409, AENJA_05080	YEAST03325, YEAST02687, YEAST03269
OG0001237	AENJA_05566, AENJA_19599	YEAST04380
OG0001238	AENJA_07960, AENJA_05667	YEAST04481
OG0001241	AENJA_21346	YEAST02002
OG0001241	AENJA_07588	YEAST03967, YEAST01074
OG0001243	AENJA_09040	YEAST00739, YEAST05004
OG0001249	AENJA_17683	YEAST01062, YEAST02067
OG0001250	AENJA_18393	YEAST02968, YEAST01339
OG0001251	AENJA_20006	YEAST00750
OG0001253	AENJA_21103	YEAST03998
OG0001254	AENJA_25593	YEAST04309
OG0001262	AENJA_25759, AENJA_02100	YEAST00911
OG0001263	AENJA_02283, AENJA_25444	YEAST00172
OG0001268	AENJA_03712	YEAST03495
OG0001270	AENJA_04208	YEAST01703
OG0001270	AENJA_21003	YEAST02398
OG0001271	AENJA_04651	YEAST05227, YEAST00662
OG0001278	AENJA_09367, AENJA_15562	YEAST01893
OG0001279	AENJA_09382	YEAST03070
OG0001280	AENJA_11194	YEAST00846
OG0001282	AENJA_12223	YEAST03744
OG0001284	AENJA_14056, AENJA_21135	YEAST00567, YEAST01498
OG0001286	AENJA_16309	YEAST00588, YEAST01486, YEAST03604
OG0001291	AENJA_21434	YEAST04453, YEAST04334
OG0001300	AENJA_00411	YEAST01098
OG0001302	AENJA_13024	YEAST02328
OG0001302	AENJA_01840	YEAST00299
OG0001310	AENJA_06272, AENJA_10879	YEAST00887
OG0001318	AENJA_09435	YEAST03712
OG0001319	AENJA_09605	YEAST01678
OG0001321	AENJA_14609	YEAST02280, YEAST01901
OG0001322	AENJA_15110, AENJA_16813	YEAST06128
OG0001324	AENJA_15995	YEAST00078
OG0001325	AENJA_16492, AENJA_18977	YEAST00793
