Orthogroup	AENJA_ok	LYTVA_ok
OG0000034	AENJA_26717	LYTVA_09293
OG0000034	AENJA_02791	LYTVA_04080
OG0000034	AENJA_23686	LYTVA_29167, LYTVA_10612
OG0000034	AENJA_13785	LYTVA_11788
OG0000034	AENJA_15701	LYTVA_12673
OG0000034	AENJA_24919	LYTVA_04355, LYTVA_01145
OG0000034	AENJA_16616	LYTVA_06697
OG0000035	AENJA_26793	LYTVA_02303, LYTVA_16617
OG0000035	AENJA_08825	LYTVA_27828
OG0000035	AENJA_12732	LYTVA_22468
OG0000035	AENJA_26037	LYTVA_12116
OG0000035	AENJA_21682	LYTVA_12115
OG0000035	AENJA_21683	LYTVA_04128
OG0000036	AENJA_22120	LYTVA_03325
OG0000036	AENJA_22191	LYTVA_20435, LYTVA_20437
OG0000036	AENJA_22190	LYTVA_25631, LYTVA_25629, LYTVA_25630, LYTVA_25628, LYTVA_10478, LYTVA_03947
OG0000036	AENJA_19267	LYTVA_14662
OG0000036	AENJA_16633	LYTVA_29789, LYTVA_04431, LYTVA_20434
OG0000036	AENJA_21299, AENJA_21302	LYTVA_07532
OG0000036	AENJA_21301	LYTVA_03326, LYTVA_18880, LYTVA_25896
OG0000036	AENJA_09983, AENJA_16634, AENJA_26207, AENJA_16107	LYTVA_13566
OG0000037	AENJA_19419	LYTVA_17010
OG0000037	AENJA_19141	LYTVA_05257, LYTVA_19733
OG0000037	AENJA_06908, AENJA_02989	LYTVA_11127
OG0000037	AENJA_17768	LYTVA_06887
OG0000037	AENJA_10696	LYTVA_08523, LYTVA_24218, LYTVA_22087
OG0000037	AENJA_13632	LYTVA_02747
OG0000037	AENJA_22610	LYTVA_25050, LYTVA_25057, LYTVA_25048
OG0000038	AENJA_09926, AENJA_09925	LYTVA_19605
OG0000038	AENJA_05691	LYTVA_09820, LYTVA_11687, LYTVA_19608
OG0000038	AENJA_00416	LYTVA_04990
OG0000038	AENJA_26313	LYTVA_00437
OG0000038	AENJA_16130	LYTVA_23709, LYTVA_21694, LYTVA_05063
OG0000038	AENJA_05693	LYTVA_27081, LYTVA_14519, LYTVA_00438
OG0000038	AENJA_05700	LYTVA_10088
OG0000038	AENJA_05696	LYTVA_19607
OG0000038	AENJA_05701	LYTVA_09516
OG0000039	AENJA_17497	LYTVA_16233
OG0000039	AENJA_26786	LYTVA_07607
OG0000039	AENJA_20163	LYTVA_13062
OG0000039	AENJA_24723	LYTVA_27073
OG0000039	AENJA_02471	LYTVA_02868
OG0000040	AENJA_11361	LYTVA_16039, LYTVA_16036, LYTVA_22091, LYTVA_29527, LYTVA_27351, LYTVA_03168, LYTVA_11912, LYTVA_06756, LYTVA_18912, LYTVA_12532, LYTVA_15738, LYTVA_27452, LYTVA_05580, LYTVA_25285
OG0000041	AENJA_08471	LYTVA_17546, LYTVA_17545
OG0000041	AENJA_24560	LYTVA_25852
OG0000041	AENJA_03404, AENJA_03405	LYTVA_03177
OG0000042	AENJA_12267, AENJA_02614, AENJA_01891	LYTVA_24767, LYTVA_21894
OG0000042	AENJA_24534, AENJA_24240, AENJA_05524, AENJA_01976, AENJA_07525, AENJA_11740	LYTVA_25081, LYTVA_25080, LYTVA_12139, LYTVA_18903, LYTVA_17561, LYTVA_10627, LYTVA_07504, LYTVA_30053
OG0000044	AENJA_12079	LYTVA_11853
OG0000044	AENJA_26664	LYTVA_26561
OG0000044	AENJA_06141	LYTVA_19279
OG0000045	AENJA_04220, AENJA_24299	LYTVA_24388, LYTVA_02507
OG0000045	AENJA_24300	LYTVA_02478, LYTVA_14643
OG0000045	AENJA_13211	LYTVA_02878
OG0000045	AENJA_18923, AENJA_18166, AENJA_08775	LYTVA_07146, LYTVA_18766, LYTVA_11571, LYTVA_03087, LYTVA_21403, LYTVA_03810
OG0000045	AENJA_09131	LYTVA_12531
OG0000045	AENJA_11592	LYTVA_17566, LYTVA_00420
OG0000046	AENJA_09090, AENJA_10596, AENJA_20156, AENJA_21759	LYTVA_22286
OG0000046	AENJA_13407, AENJA_01687, AENJA_01592, AENJA_15828	LYTVA_20626
OG0000047	AENJA_17021	LYTVA_05505
OG0000047	AENJA_17689	LYTVA_03680, LYTVA_24771, LYTVA_22336, LYTVA_29236, LYTVA_23656, LYTVA_28273, LYTVA_13574
OG0000047	AENJA_09237	LYTVA_09701
OG0000048	AENJA_11619	LYTVA_15043
OG0000048	AENJA_23226	LYTVA_26635
OG0000048	AENJA_21713	LYTVA_17720, LYTVA_17428
OG0000048	AENJA_09360	LYTVA_27999
OG0000048	AENJA_16735	LYTVA_08149
OG0000048	AENJA_25506	LYTVA_11620
OG0000049	AENJA_20702	LYTVA_16567
OG0000049	AENJA_25756	LYTVA_21152
OG0000049	AENJA_24984, AENJA_12834	LYTVA_06358
OG0000049	AENJA_11158	LYTVA_14034
OG0000049	AENJA_02953, AENJA_07586	LYTVA_25007
OG0000049	AENJA_17680	LYTVA_28129
OG0000050	AENJA_04055, AENJA_09800, AENJA_19193	LYTVA_22854, LYTVA_13054, LYTVA_07499, LYTVA_19706
OG0000050	AENJA_03200, AENJA_25472, AENJA_19123, AENJA_10961, AENJA_09597, AENJA_17561, AENJA_19763, AENJA_24932, AENJA_01528, AENJA_02355, AENJA_00087	LYTVA_22634, LYTVA_29206, LYTVA_08549, LYTVA_25325, LYTVA_16900, LYTVA_03419
OG0000050	AENJA_20003, AENJA_05632	LYTVA_13929, LYTVA_13140
OG0000050	AENJA_14035	LYTVA_13188
OG0000050	AENJA_22540, AENJA_26360, AENJA_20350	LYTVA_14198
OG0000050	AENJA_06100, AENJA_07442, AENJA_06078, AENJA_06097	LYTVA_17620
OG0000051	AENJA_18491, AENJA_12662	LYTVA_20043, LYTVA_13578, LYTVA_29605, LYTVA_13579, LYTVA_20045, LYTVA_20046, LYTVA_12866, LYTVA_12868, LYTVA_12869, LYTVA_29317, LYTVA_29318, LYTVA_29319, LYTVA_03012, LYTVA_09968, LYTVA_16489, LYTVA_16496, LYTVA_27370
OG0000051	AENJA_24250	LYTVA_02533, LYTVA_15636, LYTVA_24100, LYTVA_12428
OG0000052	AENJA_20254	LYTVA_24950
OG0000052	AENJA_03531, AENJA_00839, AENJA_20468, AENJA_18067	LYTVA_15380
