Orthogroup	XENTR	HELIO_ok
OG0000221	XENTR03108, XENTR08434, XENTR08435	HELIO_10767
OG0000221	XENTR10392, XENTR01755, XENTR16885	HELIO_06340
OG0000223	XENTR15744, XENTR02504, XENTR10692	HELIO_07967
OG0000225	XENTR02888, XENTR02887, XENTR02890, XENTR02882, XENTR02884, XENTR10481, XENTR16882, XENTR02814, XENTR02816, XENTR02864, XENTR03767, XENTR05141, XENTR06741, XENTR17843, XENTR17844	HELIO_03666, HELIO_05507, HELIO_12455
OG0000227	XENTR13632	HELIO_02891
OG0000227	XENTR00522, XENTR04987	HELIO_06498, HELIO_04590
OG0000228	XENTR07707, XENTR15692	HELIO_05990
OG0000229	XENTR07694	HELIO_12626, HELIO_08788, HELIO_08327
OG0000230	XENTR08030, XENTR08029	HELIO_01183
OG0000231	XENTR00474, XENTR12545	HELIO_00476
OG0000233	XENTR14531	HELIO_09993
OG0000234	XENTR08092, XENTR06076, XENTR18346	HELIO_06356
OG0000234	XENTR00774, XENTR10873	HELIO_10361
OG0000235	XENTR08759	HELIO_01611, HELIO_06097, HELIO_07273
OG0000236	XENTR04703	HELIO_10807
OG0000236	XENTR08003	HELIO_03897, HELIO_07442
OG0000238	XENTR01828	HELIO_10889
OG0000238	XENTR07222, XENTR07219, XENTR07220, XENTR07221, XENTR05205	HELIO_06126
OG0000239	XENTR02896, XENTR08392	HELIO_09847
OG0000239	XENTR09596	HELIO_06585
OG0000239	XENTR06920, XENTR03351	HELIO_09876
OG0000242	XENTR11501, XENTR00387, XENTR02580, XENTR18495, XENTR12685	HELIO_08165
OG0000242	XENTR19139, XENTR02853	HELIO_01488
OG0000242	XENTR01304	HELIO_07151
OG0000244	XENTR01354	HELIO_03531, HELIO_03532
OG0000245	XENTR14120, XENTR18573, XENTR17216, XENTR17307, XENTR08599, XENTR10449, XENTR14505, XENTR07584, XENTR00128, XENTR05671, XENTR04790	HELIO_12327, HELIO_04665
OG0000246	XENTR12561	HELIO_12542
OG0000248	XENTR05728, XENTR06749, XENTR18294, XENTR06755, XENTR06750, XENTR06752	HELIO_03449
