Orthogroup	ASTMX	STRPU_ok
OG0000096	ASTMX13693, ASTMX16094, ASTMX16093	STRPU_23963, STRPU_23937
OG0000096	ASTMX18278, ASTMX15892	STRPU_22229
OG0000096	ASTMX09859	STRPU_27319
OG0000096	ASTMX00377, ASTMX10196, ASTMX13339, ASTMX00337, ASTMX00376, ASTMX22998	STRPU_15853, STRPU_15805
OG0000096	ASTMX19590, ASTMX07352	STRPU_11677
OG0000096	ASTMX10423, ASTMX12959	STRPU_13124, STRPU_02569
OG0000098	ASTMX07347, ASTMX04481, ASTMX14487, ASTMX14764	STRPU_22565, STRPU_22567, STRPU_16696
OG0000098	ASTMX18980, ASTMX20779, ASTMX21996, ASTMX18982, ASTMX20777, ASTMX05127, ASTMX21313, ASTMX18164, ASTMX20778	STRPU_26921, STRPU_27157
OG0000099	ASTMX21430	STRPU_05601, STRPU_05541, STRPU_05542, STRPU_05545, STRPU_05604
OG0000099	ASTMX08745, ASTMX06768, ASTMX09878, ASTMX08746, ASTMX19321, ASTMX05749, ASTMX05771, ASTMX19085, ASTMX03707	STRPU_16997, STRPU_16998
OG0000101	ASTMX00206, ASTMX00424	STRPU_12617
OG0000101	ASTMX08413	STRPU_17399, STRPU_17409
OG0000101	ASTMX14248, ASTMX12706, ASTMX02894	STRPU_00056, STRPU_00044, STRPU_13993, STRPU_09278, STRPU_14078, STRPU_00843, STRPU_14047
OG0000102	ASTMX10991, ASTMX16111	STRPU_21344
OG0000103	ASTMX21446, ASTMX16835, ASTMX09444, ASTMX11660, ASTMX22226, ASTMX10672, ASTMX15124, ASTMX06401, ASTMX04972	STRPU_08665
OG0000103	ASTMX06869, ASTMX11394, ASTMX17816, ASTMX11412, ASTMX14316	STRPU_08161
OG0000104	ASTMX07046, ASTMX03729, ASTMX19421	STRPU_03670, STRPU_03681
OG0000104	ASTMX16255, ASTMX08642, ASTMX17146, ASTMX01448	STRPU_22118
OG0000104	ASTMX03728, ASTMX07045	STRPU_03688, STRPU_03686
OG0000104	ASTMX00149	STRPU_02772
OG0000104	ASTMX00709, ASTMX16073	STRPU_23716
OG0000106	ASTMX14703, ASTMX18591, ASTMX08015	STRPU_25282
OG0000106	ASTMX03154	STRPU_25442
