Orthogroup	ORYLA	SACKO_ok
OG0000090	ORYLA02080, ORYLA06082	SACKO_21411
OG0000090	ORYLA01746, ORYLA06194	SACKO_28463, SACKO_27294, SACKO_22823, SACKO_27256, SACKO_22832, SACKO_22824
OG0000093	ORYLA18765, ORYLA18669, ORYLA15023, ORYLA11108, ORYLA13845	SACKO_04129
OG0000094	ORYLA11069, ORYLA13785, ORYLA15547, ORYLA16049, ORYLA16240	SACKO_30142
OG0000094	ORYLA07022, ORYLA13648, ORYLA16827, ORYLA02928, ORYLA18149	SACKO_14416
OG0000095	ORYLA14595, ORYLA20341, ORYLA20340, ORYLA09081, ORYLA08748, ORYLA09168, ORYLA08687	SACKO_22134, SACKO_02519
OG0000096	ORYLA01048, ORYLA09916, ORYLA08764, ORYLA06904, ORYLA03328	SACKO_00041
OG0000096	ORYLA16077, ORYLA13956, ORYLA11296	SACKO_02842
OG0000096	ORYLA13747, ORYLA08870	SACKO_13904
OG0000096	ORYLA15103, ORYLA16842, ORYLA19281, ORYLA15104	SACKO_24537
OG0000096	ORYLA12353	SACKO_23084
OG0000096	ORYLA10017	SACKO_27312, SACKO_27255
OG0000098	ORYLA17178, ORYLA07954, ORYLA12107, ORYLA12108, ORYLA09777	SACKO_30373, SACKO_19685
OG0000098	ORYLA12605, ORYLA17802, ORYLA17803, ORYLA14930, ORYLA14929, ORYLA14928, ORYLA12061, ORYLA17722, ORYLA17721	SACKO_15840
OG0000099	ORYLA20429, ORYLA04253, ORYLA01278, ORYLA03578, ORYLA04559, ORYLA01343	SACKO_04331
OG0000099	ORYLA05907, ORYLA01597, ORYLA03439, ORYLA11498, ORYLA05408, ORYLA05964, ORYLA03167, ORYLA04063	SACKO_03078
OG0000101	ORYLA12058	SACKO_13586, SACKO_13587, SACKO_31937
OG0000101	ORYLA08387	SACKO_24340, SACKO_08457
OG0000101	ORYLA09166, ORYLA09165	SACKO_23978, SACKO_23977
OG0000101	ORYLA09845, ORYLA13979, ORYLA09844, ORYLA08653, ORYLA08654	SACKO_17213, SACKO_17194, SACKO_17207, SACKO_30330
OG0000102	ORYLA19358, ORYLA00094	SACKO_09072, SACKO_09096, SACKO_13190
OG0000102	ORYLA12106	SACKO_13900
OG0000102	ORYLA18027, ORYLA02390, ORYLA02592	SACKO_03174, SACKO_24642, SACKO_24634, SACKO_24635, SACKO_25830, SACKO_27386, SACKO_24644, SACKO_06606, SACKO_24917, SACKO_26731, SACKO_33717, SACKO_06602, SACKO_23037, SACKO_18657, SACKO_18650, SACKO_28533, SACKO_15184, SACKO_18640
OG0000103	ORYLA06785, ORYLA13767, ORYLA13768, ORYLA18738, ORYLA18739, ORYLA16588, ORYLA16584, ORYLA16587, ORYLA18654, ORYLA16586, ORYLA15171, ORYLA18507, ORYLA11651, ORYLA06786, ORYLA06787, ORYLA08966	SACKO_33359
OG0000103	ORYLA05784, ORYLA17049, ORYLA00063, ORYLA17050, ORYLA16263, ORYLA00786, ORYLA17085, ORYLA00059	SACKO_23497
OG0000104	ORYLA03680, ORYLA06072	SACKO_13626, SACKO_13628, SACKO_13620
OG0000104	ORYLA19284, ORYLA06159, ORYLA19393, ORYLA08226	SACKO_19425
OG0000104	ORYLA03679	SACKO_13617
OG0000104	ORYLA09408	SACKO_06378, SACKO_13688
OG0000104	ORYLA14236, ORYLA14756, ORYLA10856	SACKO_16066
OG0000106	ORYLA06794	SACKO_19035
