Orthogroup	AMPFI_ok	BRAFL
OG0000059	AMPFI_02192, AMPFI_01329	bflo_11837, bflo_12278, bflo_12493, bflo_10907, bflo_06880, bflo_08754, bflo_11971, bflo_20092, bflo_20089
OG0000060	AMPFI_23758	bflo_01659, bflo_06661
OG0000060	AMPFI_19643	bflo_25984, bflo_26009
OG0000062	AMPFI_05434	bflo_13529
OG0000062	AMPFI_05111, AMPFI_02667	bflo_00246
OG0000063	AMPFI_25718, AMPFI_20407, AMPFI_07613	bflo_25923
OG0000063	AMPFI_16608, AMPFI_24341, AMPFI_23675	bflo_26060
OG0000066	AMPFI_02908	bflo_00475, bflo_00473, bflo_00474
OG0000066	AMPFI_09400	bflo_11842
OG0000067	AMPFI_04770	bflo_08170
OG0000068	AMPFI_02504	bflo_12119
OG0000068	AMPFI_11929	bflo_12120
OG0000069	AMPFI_08415	bflo_20543, bflo_20542, bflo_20541, bflo_27333
OG0000072	AMPFI_20479	bflo_14353
OG0000072	AMPFI_26076	bflo_04637
OG0000072	AMPFI_21820	bflo_14474
OG0000072	AMPFI_10116	bflo_07890
OG0000072	AMPFI_17873	bflo_11789, bflo_11787, bflo_11788, bflo_11252
OG0000073	AMPFI_17720, AMPFI_09678	bflo_13167
OG0000073	AMPFI_10119	bflo_15886, bflo_10835, bflo_16255, bflo_09590, bflo_09438, bflo_09527
OG0000074	AMPFI_22998, AMPFI_09812, AMPFI_05452	bflo_10921
OG0000074	AMPFI_19576	bflo_14737
OG0000075	AMPFI_17345, AMPFI_17344	bflo_02192
OG0000075	AMPFI_12462	bflo_02500
OG0000075	AMPFI_03839	bflo_02607
OG0000075	AMPFI_10510	bflo_24625
OG0000075	AMPFI_15829	bflo_02487
OG0000075	AMPFI_15139	bflo_12189
OG0000075	AMPFI_15917	bflo_11040
OG0000075	AMPFI_17574	bflo_11652
OG0000077	AMPFI_08518	bflo_09163
OG0000078	AMPFI_24840, AMPFI_23657, AMPFI_13938, AMPFI_22390	bflo_23379, bflo_23493
OG0000079	AMPFI_09380	bflo_00523
OG0000079	AMPFI_09436, AMPFI_07753, AMPFI_20678, AMPFI_00442	bflo_07371
OG0000079	AMPFI_24805	bflo_20026
OG0000079	AMPFI_06359, AMPFI_07521	bflo_01658
OG0000082	AMPFI_21007	bflo_15900
OG0000082	AMPFI_06890	bflo_04889
OG0000082	AMPFI_15952, AMPFI_11015	bflo_00187
OG0000083	AMPFI_25070, AMPFI_02950, AMPFI_03183, AMPFI_17026, AMPFI_02353, AMPFI_06007, AMPFI_06006, AMPFI_09389, AMPFI_12969, AMPFI_20938, AMPFI_06531, AMPFI_19967, AMPFI_19634, AMPFI_12970, AMPFI_07180, AMPFI_16886, AMPFI_05215, AMPFI_19858, AMPFI_09445, AMPFI_16696, AMPFI_22106, AMPFI_21518, AMPFI_02555, AMPFI_04299, AMPFI_21565, AMPFI_18422, AMPFI_09390, AMPFI_04259, AMPFI_17422, AMPFI_12422, AMPFI_18573	bflo_07981
