Orthogroup	AMPFI_ok	NEMVE
OG0000049	AMPFI_21732	NEMVE16905, NEMVE16051, NEMVE24775, NEMVE01999, NEMVE16789, NEMVE16790, NEMVE16128, NEMVE01975, NEMVE02047, NEMVE16717, NEMVE08586, NEMVE23821, NEMVE10283, NEMVE01510, NEMVE06990, NEMVE03443, NEMVE05693, NEMVE00604, NEMVE19016, NEMVE00041
OG0000049	AMPFI_21057	NEMVE07661, NEMVE06992, NEMVE00847
OG0000050	AMPFI_09852, AMPFI_09851, AMPFI_22369, AMPFI_19942	NEMVE17503
OG0000050	AMPFI_23876, AMPFI_19742	NEMVE01136
OG0000051	AMPFI_12251, AMPFI_06956, AMPFI_18032	NEMVE14426, NEMVE13406, NEMVE08489, NEMVE22548
OG0000051	AMPFI_01376, AMPFI_01979, AMPFI_15572, AMPFI_18266, AMPFI_05878	NEMVE18951, NEMVE15008
OG0000053	AMPFI_03971, AMPFI_14513	NEMVE21440
OG0000054	AMPFI_10274	NEMVE15086, NEMVE10916
OG0000054	AMPFI_23388, AMPFI_23387, AMPFI_06988, AMPFI_13427, AMPFI_13250	NEMVE05466
OG0000055	AMPFI_18462	NEMVE16653
OG0000056	AMPFI_10015	NEMVE01724, NEMVE05835, NEMVE01653
OG0000056	AMPFI_06567, AMPFI_06885	NEMVE04649, NEMVE01116
OG0000056	AMPFI_21387	NEMVE16234
OG0000056	AMPFI_13951	NEMVE16764, NEMVE18863, NEMVE02201
OG0000057	AMPFI_01580, AMPFI_02256	NEMVE03498, NEMVE03044, NEMVE05190, NEMVE02467, NEMVE05216, NEMVE05223, NEMVE05204, NEMVE05225, NEMVE12328, NEMVE05177, NEMVE05220, NEMVE03446, NEMVE07617, NEMVE07622, NEMVE25939, NEMVE23329, NEMVE05208, NEMVE02722, NEMVE16190
OG0000057	AMPFI_14627, AMPFI_22750	NEMVE10395, NEMVE11964, NEMVE19551, NEMVE19549, NEMVE07013, NEMVE11616, NEMVE06083, NEMVE06091, NEMVE09928, NEMVE11032, NEMVE02373, NEMVE10198, NEMVE10880, NEMVE12756, NEMVE06096, NEMVE08671, NEMVE10393, NEMVE08351, NEMVE08492, NEMVE11506, NEMVE11503, NEMVE10767, NEMVE11903, NEMVE03302, NEMVE08822, NEMVE05544
OG0000057	AMPFI_22187, AMPFI_02601, AMPFI_04153, AMPFI_22527	NEMVE08590, NEMVE08584, NEMVE02970, NEMVE11676
OG0000057	AMPFI_23737	NEMVE17706
OG0000058	AMPFI_18481	NEMVE13151
OG0000058	AMPFI_13098	NEMVE00498
OG0000059	AMPFI_22560	NEMVE00551, NEMVE09296, NEMVE11121
OG0000060	AMPFI_20631, AMPFI_19643, AMPFI_25991, AMPFI_02716	NEMVE15983, NEMVE23420, NEMVE00402
OG0000060	AMPFI_19058	NEMVE02438
OG0000062	AMPFI_05434	NEMVE14126
OG0000062	AMPFI_22135, AMPFI_05111, AMPFI_02667	NEMVE00002, NEMVE17871
OG0000063	AMPFI_19149	NEMVE00196
OG0000063	AMPFI_21664	NEMVE00961
OG0000063	AMPFI_14740, AMPFI_00674, AMPFI_24629	NEMVE23740
