Orthogroup	STRPU_ok	YEAST
OG0000399	STRPU_07794, STRPU_20860, STRPU_20896, STRPU_07796, STRPU_11457, STRPU_23097	YEAST02160
OG0000400	STRPU_18035, STRPU_16345, STRPU_16374	YEAST05911
OG0000402	STRPU_09420, STRPU_01539, STRPU_26119, STRPU_26105, STRPU_26104, STRPU_26118	YEAST01657, YEAST01929
OG0000405	STRPU_27356	YEAST06055, YEAST00411
OG0000412	STRPU_04141, STRPU_20062	YEAST04469
OG0000413	STRPU_21399	YEAST04905, YEAST05340
OG0000413	STRPU_06626	YEAST02838
OG0000419	STRPU_14681	YEAST05989
OG0000420	STRPU_23782, STRPU_10246, STRPU_10247, STRPU_10244, STRPU_14739, STRPU_14741, STRPU_14740, STRPU_20569, STRPU_20568	YEAST03886
OG0000424	STRPU_11870, STRPU_04472, STRPU_04471	YEAST03563
OG0000426	STRPU_09853	YEAST03440
OG0000427	STRPU_12503, STRPU_00637, STRPU_11390	YEAST02655, YEAST02439
OG0000429	STRPU_23154, STRPU_24289	YEAST02285
OG0000431	STRPU_08891, STRPU_05364, STRPU_06554, STRPU_06544	YEAST04014
OG0000433	STRPU_08440, STRPU_17896, STRPU_17895	YEAST06177, YEAST00117
OG0000437	STRPU_01400, STRPU_04378, STRPU_04379, STRPU_13204, STRPU_13205, STRPU_13203, STRPU_13182, STRPU_00657, STRPU_23072, STRPU_00656, STRPU_22055	YEAST03074, YEAST02073
OG0000442	STRPU_06501, STRPU_17294, STRPU_16903	YEAST05012
OG0000444	STRPU_12350, STRPU_12803	YEAST01115, YEAST04019
OG0000445	STRPU_02013, STRPU_16954, STRPU_26060, STRPU_17672	YEAST03068
OG0000450	STRPU_14805	YEAST04709, YEAST05909
OG0000461	STRPU_14492	YEAST00120
OG0000467	STRPU_23158	YEAST03162
OG0000468	STRPU_14586, STRPU_14584, STRPU_14583, STRPU_14585, STRPU_12712, STRPU_12711, STRPU_05357, STRPU_15078	YEAST04372
OG0000469	STRPU_23215, STRPU_23221	YEAST02179, YEAST05440
OG0000469	STRPU_26522	YEAST02333, YEAST00863
OG0000474	STRPU_22424, STRPU_23394	YEAST02384
OG0000476	STRPU_20170, STRPU_20169, STRPU_19628, STRPU_19687	YEAST03038
OG0000479	STRPU_17435, STRPU_14315	YEAST04139
OG0000480	STRPU_11203, STRPU_11000, STRPU_00339, STRPU_11321, STRPU_00362, STRPU_11025	YEAST05750
OG0000481	STRPU_14885	YEAST01040
OG0000481	STRPU_19958, STRPU_01189	YEAST00916
OG0000481	STRPU_04460	YEAST00827, YEAST00774
OG0000484	STRPU_19234	YEAST05824
OG0000486	STRPU_20016, STRPU_18622, STRPU_08732	YEAST03122, YEAST04270
OG0000487	STRPU_21236	YEAST04968
OG0000487	STRPU_09230, STRPU_02195	YEAST02728
OG0000488	STRPU_21579, STRPU_09666	YEAST01414
OG0000490	STRPU_19396, STRPU_19397	YEAST04297, YEAST00894
OG0000505	STRPU_21978	YEAST03067
OG0000508	STRPU_13773, STRPU_22049	YEAST04626
OG0000510	STRPU_20272, STRPU_20279, STRPU_20192, STRPU_23102	YEAST04569, YEAST05730
OG0000515	STRPU_19518, STRPU_19526, STRPU_19523, STRPU_19522, STRPU_19524, STRPU_19525, STRPU_19751, STRPU_19749, STRPU_06347, STRPU_26585, STRPU_26583, STRPU_19521	YEAST04784, YEAST05876
OG0000519	STRPU_14240, STRPU_14241, STRPU_14510, STRPU_14504, STRPU_14502, STRPU_14501, STRPU_14500, STRPU_14509, STRPU_14503, STRPU_14505, STRPU_14497, STRPU_14232, STRPU_14226, STRPU_14228, STRPU_14235, STRPU_02530, STRPU_15149	YEAST04594, YEAST03616
OG0000520	STRPU_15354, STRPU_02843, STRPU_02884, STRPU_02842	YEAST02979
