Orthogroup	HELIO_ok	SCHMD
OG0000181	HELIO_11084, HELIO_06953	SCHMD03915, SCHMD03917, SCHMD09330, SCHMD09328
OG0000181	HELIO_03461, HELIO_03460	SCHMD11453
OG0000182	HELIO_06024	SCHMD07603
OG0000183	HELIO_03106, HELIO_07785	SCHMD21103, SCHMD28756
OG0000183	HELIO_12279, HELIO_02987	SCHMD12130, SCHMD10333
OG0000186	HELIO_02314	SCHMD07850, SCHMD22114, SCHMD12081
OG0000186	HELIO_02377	SCHMD11605
OG0000192	HELIO_08116, HELIO_04385	SCHMD06928, SCHMD19123, SCHMD13848, SCHMD05119, SCHMD03032, SCHMD02899, SCHMD02898, SCHMD00443
OG0000194	HELIO_04375, HELIO_03596, HELIO_05547, HELIO_11820, HELIO_06680, HELIO_07417, HELIO_04980	SCHMD11912, SCHMD12565
OG0000195	HELIO_05982	SCHMD06851
OG0000195	HELIO_02698, HELIO_03662, HELIO_03270, HELIO_05691, HELIO_11757, HELIO_06118	SCHMD06771
OG0000197	HELIO_03884	SCHMD10696, SCHMD17861, SCHMD23209
OG0000201	HELIO_03794	SCHMD28886, SCHMD20370, SCHMD17233
OG0000201	HELIO_11591, HELIO_07497	SCHMD00317, SCHMD09035
OG0000201	HELIO_09400	SCHMD10520
OG0000203	HELIO_11397	SCHMD13221
OG0000204	HELIO_05116	SCHMD05946, SCHMD11236, SCHMD20783
OG0000205	HELIO_00076	SCHMD14902, SCHMD14453
OG0000205	HELIO_00236	SCHMD25881, SCHMD14433, SCHMD00603, SCHMD11532, SCHMD18472, SCHMD00599, SCHMD27278
OG0000205	HELIO_07450	SCHMD07996
OG0000207	HELIO_04136, HELIO_05670, HELIO_01226, HELIO_01015, HELIO_08023, HELIO_10947, HELIO_04894, HELIO_01091	SCHMD06438, SCHMD26342, SCHMD25964, SCHMD04396
OG0000208	HELIO_08975	SCHMD02566, SCHMD12405, SCHMD11985, SCHMD22998, SCHMD11986, SCHMD02567, SCHMD02568, SCHMD12406, SCHMD01555, SCHMD12407, SCHMD05900
OG0000209	HELIO_09875	SCHMD02092
OG0000210	HELIO_02498, HELIO_11016, HELIO_10527, HELIO_02703, HELIO_08784	SCHMD17714, SCHMD17668, SCHMD15550, SCHMD10082, SCHMD15038, SCHMD22393
OG0000210	HELIO_12121	SCHMD24015
OG0000211	HELIO_00554	SCHMD21436
OG0000215	HELIO_03905	SCHMD15383
OG0000218	HELIO_12321	SCHMD01527
OG0000220	HELIO_04300, HELIO_10035, HELIO_12042	SCHMD07645
OG0000221	HELIO_06860, HELIO_10767, HELIO_06340	SCHMD10720
OG0000222	HELIO_00099, HELIO_10967, HELIO_04924, HELIO_00113	SCHMD21612, SCHMD08502
OG0000223	HELIO_08605	SCHMD02890, SCHMD03920
OG0000223	HELIO_07967	SCHMD07139, SCHMD25635, SCHMD26287, SCHMD25493
OG0000223	HELIO_04535	SCHMD07138, SCHMD07143, SCHMD26815, SCHMD26565
OG0000223	HELIO_08604	SCHMD02892
OG0000225	HELIO_03666, HELIO_05507, HELIO_12455	SCHMD14160, SCHMD23340, SCHMD13094, SCHMD25261, SCHMD22794, SCHMD14161
OG0000225	HELIO_12454	SCHMD18925, SCHMD18924
OG0000227	HELIO_06498, HELIO_04590	SCHMD04380
OG0000230	HELIO_01183	SCHMD23835, SCHMD14315
OG0000231	HELIO_05053	SCHMD23026
OG0000231	HELIO_00476	SCHMD24769, SCHMD25604
OG0000233	HELIO_09993	SCHMD01146, SCHMD07435, SCHMD22145
OG0000236	HELIO_10807	SCHMD00730
OG0000239	HELIO_09847	SCHMD18522
OG0000239	HELIO_06585	SCHMD03432
OG0000239	HELIO_09876	SCHMD06547
OG0000240	HELIO_07617	SCHMD06226, SCHMD00582
OG0000242	HELIO_01488	SCHMD20260
OG0000243	HELIO_11310	SCHMD17682, SCHMD15912, SCHMD11668
OG0000244	HELIO_03531, HELIO_03532	SCHMD21826
OG0000244	HELIO_12702	SCHMD15740, SCHMD18441, SCHMD21827
OG0000246	HELIO_12542	SCHMD16891, SCHMD17961, SCHMD12289
OG0000250	HELIO_03230	SCHMD07715, SCHMD11126
OG0000250	HELIO_09216	SCHMD00165
OG0000255	HELIO_11786	SCHMD14618, SCHMD25034
OG0000256	HELIO_11169	SCHMD06220
OG0000258	HELIO_01832	SCHMD00959
OG0000260	HELIO_02123, HELIO_12046	SCHMD00231
OG0000261	HELIO_10678	SCHMD06264, SCHMD17166
OG0000263	HELIO_05578, HELIO_08363, HELIO_05846, HELIO_05963, HELIO_01532, HELIO_11244, HELIO_09948	SCHMD21152, SCHMD16080, SCHMD25801, SCHMD26173, SCHMD15861, SCHMD05150
OG0000265	HELIO_10981	SCHMD14945, SCHMD03613, SCHMD19985
OG0000265	HELIO_02949	SCHMD18240, SCHMD09007
OG0000268	HELIO_09456	SCHMD08097
OG0000268	HELIO_11907	SCHMD25441
OG0000269	HELIO_06264	SCHMD02382, SCHMD21902
OG0000270	HELIO_11284	SCHMD16423
OG0000272	HELIO_06926	SCHMD13324, SCHMD08067
OG0000273	HELIO_05150	SCHMD09689
OG0000273	HELIO_03083	SCHMD18528, SCHMD25490
OG0000275	HELIO_08804	SCHMD08209, SCHMD24873
OG0000277	HELIO_01369	SCHMD09439
OG0000280	HELIO_10700	SCHMD23189
