Orthogroup	HELIO_ok	YEAST
OG0001191	HELIO_06301	YEAST04707
OG0001197	HELIO_04520, HELIO_09598	YEAST01499
OG0001201	HELIO_08628	YEAST05452
OG0001204	HELIO_07269	YEAST05200
OG0001207	HELIO_10416, HELIO_09377	YEAST04258
OG0001210	HELIO_01552	YEAST05511
OG0001210	HELIO_03776	YEAST02318
OG0001212	HELIO_03454, HELIO_05237	YEAST03971
OG0001214	HELIO_04580	YEAST00577
OG0001216	HELIO_01588, HELIO_04477	YEAST00145
OG0001219	HELIO_07847	YEAST03867
OG0001236	HELIO_09754	YEAST03325, YEAST02687, YEAST03269
OG0001237	HELIO_09190, HELIO_06015	YEAST04380
OG0001238	HELIO_06977	YEAST04481
OG0001241	HELIO_03226	YEAST02002
OG0001241	HELIO_12192	YEAST03967, YEAST01074
OG0001243	HELIO_09478	YEAST00739, YEAST05004
OG0001250	HELIO_01985	YEAST02968, YEAST01339
OG0001251	HELIO_03697	YEAST01707
OG0001253	HELIO_02555, HELIO_12144	YEAST03998
OG0001254	HELIO_05460	YEAST04309
OG0001262	HELIO_07069, HELIO_09573, HELIO_00924	YEAST00911
OG0001263	HELIO_01885, HELIO_04331	YEAST00172
OG0001268	HELIO_07801, HELIO_12028	YEAST03495
OG0001270	HELIO_02110	YEAST01703
OG0001270	HELIO_02804	YEAST02398
OG0001271	HELIO_11242	YEAST05227, YEAST00662
OG0001278	HELIO_10541, HELIO_03037, HELIO_09526	YEAST01893
OG0001279	HELIO_12791	YEAST03070
OG0001282	HELIO_03746	YEAST03744
OG0001284	HELIO_06649, HELIO_03045	YEAST00567, YEAST01498
OG0001286	HELIO_12601	YEAST00588, YEAST01486, YEAST03604
OG0001291	HELIO_10055	YEAST04453, YEAST04334
OG0001300	HELIO_09555	YEAST01098
OG0001302	HELIO_02616	YEAST02328
OG0001302	HELIO_08651	YEAST00299
OG0001310	HELIO_02438, HELIO_09331	YEAST00887
OG0001318	HELIO_01897, HELIO_00651	YEAST03712
OG0001319	HELIO_09125	YEAST01678
OG0001321	HELIO_11153	YEAST02280, YEAST01901
OG0001322	HELIO_12344, HELIO_07391	YEAST06128
OG0001324	HELIO_11046	YEAST00078
OG0001325	HELIO_02148	YEAST00793
OG0001326	HELIO_01722	YEAST05395
OG0001327	HELIO_06372, HELIO_03453	YEAST03176
OG0001333	HELIO_07137	YEAST00728
OG0001341	HELIO_06656	YEAST06006
OG0001345	HELIO_00586	YEAST03613
OG0001353	HELIO_03307, HELIO_07889	YEAST00020, YEAST04041
OG0001363	HELIO_03084	YEAST06180
OG0001364	HELIO_01883, HELIO_04728, HELIO_01882, HELIO_01884	YEAST06038, YEAST00402
OG0001367	HELIO_12197	YEAST04688
OG0001368	HELIO_02045	YEAST01821
OG0001370	HELIO_08459, HELIO_09154	YEAST04067, YEAST05195, YEAST00897
OG0001371	HELIO_02393, HELIO_07671	YEAST00532, YEAST03976
OG0001372	HELIO_07415	YEAST00070
OG0001372	HELIO_09833, HELIO_00197	YEAST02226
OG0001375	HELIO_04841, HELIO_01574	YEAST05499, YEAST05567
OG0001378	HELIO_02964	YEAST02300
OG0001379	HELIO_04200	YEAST04155
OG0001386	HELIO_05642, HELIO_02823, HELIO_05955, HELIO_02822	YEAST05114
OG0001397	HELIO_01273, HELIO_04122	YEAST05731
OG0001400	HELIO_09621	YEAST02931
OG0001409	HELIO_05260	YEAST00885, YEAST04659
OG0001410	HELIO_07114, HELIO_01417	YEAST05046
OG0001411	HELIO_03361	YEAST04834
OG0001412	HELIO_06209	YEAST04490
OG0001413	HELIO_11436, HELIO_10258	YEAST04294
OG0001414	HELIO_00902, HELIO_00745	YEAST06070, YEAST01920
OG0001415	HELIO_07046	YEAST04230
OG0001415	HELIO_06445	YEAST00964
OG0001421	HELIO_02587	YEAST05252
OG0001422	HELIO_00344	YEAST05588, YEAST01363
OG0001424	HELIO_00747, HELIO_01935	YEAST01127
