Orthogroup	HELIO_ok	APOSC_ok
OG0000043	HELIO_00563	APOSC_07558
OG0000044	HELIO_05461	APOSC_25765
OG0000044	HELIO_08837	APOSC_22317
OG0000044	HELIO_02529	APOSC_27143
OG0000044	HELIO_01656	APOSC_23682, APOSC_07549
OG0000045	HELIO_07351, HELIO_00342	APOSC_22585, APOSC_21035, APOSC_21563, APOSC_17346
OG0000045	HELIO_00381, HELIO_10516, HELIO_06348, HELIO_06793	APOSC_08754
OG0000045	HELIO_03034	APOSC_07318
OG0000046	HELIO_08475	APOSC_27956
OG0000047	HELIO_06314, HELIO_04036	APOSC_07412
OG0000047	HELIO_05583, HELIO_01306	APOSC_18193
OG0000047	HELIO_06838	APOSC_21050
OG0000047	HELIO_06746, HELIO_05006	APOSC_11509
OG0000048	HELIO_12500	APOSC_08378
OG0000048	HELIO_03643	APOSC_06436
OG0000048	HELIO_05826, HELIO_06221	APOSC_03154
OG0000048	HELIO_11655	APOSC_05588
OG0000048	HELIO_08708	APOSC_11695
OG0000048	HELIO_11103	APOSC_04736, APOSC_11238
OG0000048	HELIO_00288, HELIO_00660, HELIO_12560, HELIO_10706	APOSC_20195, APOSC_19960, APOSC_08567, APOSC_07074, APOSC_07656
OG0000048	HELIO_05605	APOSC_03220
OG0000049	HELIO_02366	APOSC_21344
OG0000049	HELIO_10175	APOSC_12037, APOSC_12038
OG0000049	HELIO_12356	APOSC_06675, APOSC_16013, APOSC_03058, APOSC_16012
OG0000050	HELIO_04635	APOSC_23849, APOSC_23848, APOSC_00680
OG0000050	HELIO_04600	APOSC_25946, APOSC_16367, APOSC_02924, APOSC_04909
OG0000050	HELIO_04507, HELIO_05305	APOSC_12511, APOSC_15058, APOSC_21186
OG0000050	HELIO_03827, HELIO_11651, HELIO_10651, HELIO_07585	APOSC_20758, APOSC_27570
OG0000050	HELIO_00791, HELIO_04892, HELIO_11650	APOSC_18309
OG0000051	HELIO_06960, HELIO_04086, HELIO_00091, HELIO_07483, HELIO_04213, HELIO_04232, HELIO_11844	APOSC_27336, APOSC_26514, APOSC_20666, APOSC_22461, APOSC_22344, APOSC_05956, APOSC_05955, APOSC_12406, APOSC_19227, APOSC_13392, APOSC_24381, APOSC_14991, APOSC_06697, APOSC_26726, APOSC_24540, APOSC_13520, APOSC_16788, APOSC_16789
OG0000051	HELIO_11965, HELIO_05090, HELIO_05789	APOSC_17477, APOSC_05458, APOSC_29038
OG0000052	HELIO_04521	APOSC_25118, APOSC_15608, APOSC_21574, APOSC_12782, APOSC_22044
OG0000053	HELIO_06044	APOSC_10479
OG0000053	HELIO_06677	APOSC_18028
OG0000053	HELIO_04652	APOSC_17326, APOSC_04519, APOSC_16028, APOSC_09189
OG0000053	HELIO_04740	APOSC_12801, APOSC_21082, APOSC_17693, APOSC_12690
OG0000053	HELIO_03906, HELIO_04886	APOSC_21378, APOSC_28641, APOSC_01208, APOSC_23789
OG0000053	HELIO_12219, HELIO_10545	APOSC_19400, APOSC_15301
OG0000053	HELIO_00058	APOSC_25850
OG0000054	HELIO_11556, HELIO_11049, HELIO_07252, HELIO_05216	APOSC_11718, APOSC_21385, APOSC_21386, APOSC_08913, APOSC_09151
OG0000055	HELIO_10362	APOSC_22457
OG0000056	HELIO_05303	APOSC_00208, APOSC_00207, APOSC_00209
OG0000056	HELIO_07150	APOSC_17578, APOSC_21646
OG0000056	HELIO_07638	APOSC_04117
OG0000058	HELIO_04764	APOSC_25169
OG0000058	HELIO_06019	APOSC_25682
OG0000059	HELIO_08348	APOSC_10184
OG0000059	HELIO_09805	APOSC_10123
OG0000059	HELIO_00630	APOSC_05314
OG0000059	HELIO_02571	APOSC_25638
OG0000059	HELIO_11973	APOSC_08890
OG0000059	HELIO_07693	APOSC_00480
OG0000060	HELIO_02035	APOSC_15645
OG0000060	HELIO_11213	APOSC_26756
OG0000060	HELIO_01698, HELIO_08930, HELIO_10260	APOSC_09536, APOSC_09537
OG0000060	HELIO_12113	APOSC_08992
OG0000061	HELIO_11204	APOSC_14996
OG0000061	HELIO_04007	APOSC_26114
OG0000061	HELIO_00294, HELIO_10663	APOSC_02472
OG0000061	HELIO_00140	APOSC_15254
OG0000061	HELIO_07930	APOSC_00372
OG0000062	HELIO_01760	APOSC_13553, APOSC_13555
OG0000062	HELIO_09809	APOSC_22259, APOSC_22260
OG0000062	HELIO_06316	APOSC_18486, APOSC_01084
OG0000062	HELIO_06187	APOSC_04350, APOSC_22669, APOSC_22670
OG0000062	HELIO_08446, HELIO_09104	APOSC_00580
OG0000063	HELIO_10147	APOSC_25041
OG0000063	HELIO_12629	APOSC_17949
OG0000063	HELIO_04719, HELIO_12335, HELIO_11425	APOSC_04214
OG0000063	HELIO_12062	APOSC_00283, APOSC_03289, APOSC_03344, APOSC_25427, APOSC_07856, APOSC_00623
OG0000063	HELIO_04155	APOSC_13886, APOSC_04832
OG0000064	HELIO_01450	APOSC_02073
OG0000064	HELIO_11717	APOSC_13863
OG0000064	HELIO_05378	APOSC_00123, APOSC_00124
OG0000064	HELIO_04032, HELIO_07061	APOSC_01296, APOSC_15130, APOSC_09884
OG0000065	HELIO_07590	APOSC_12531
OG0000065	HELIO_07271, HELIO_03598, HELIO_00678	APOSC_10714, APOSC_21764, APOSC_21765
OG0000065	HELIO_00187, HELIO_05936, HELIO_05480	APOSC_14736, APOSC_03698, APOSC_03697, APOSC_01129, APOSC_00150, APOSC_01985, APOSC_25088, APOSC_15108, APOSC_28621, APOSC_19931, APOSC_19932, APOSC_12157
OG0000066	HELIO_08302	APOSC_23538
OG0000066	HELIO_11387	APOSC_20821
OG0000067	HELIO_11753, HELIO_06955	APOSC_04289, APOSC_00615, APOSC_00616
OG0000067	HELIO_07211, HELIO_04257, HELIO_02907	APOSC_06312
OG0000067	HELIO_01151	APOSC_24028
