Orthogroup	OWEFU	APOSJ_ok
OG0000041	OFUSG21324.4.p1, OFUSG21324.2.p1, OFUSG21324.1.p1, OFUSG21324.3.p1	APOSJ_00247
OG0000044	OFUSG03166.1.p1	APOSJ_57354, APOSJ_57355, APOSJ_22626, APOSJ_55615, APOSJ_55614, APOSJ_28339, APOSJ_28351, APOSJ_28336, APOSJ_22636, APOSJ_03631
OG0000044	OFUSG11434.1.p1, OFUSG13798.1.p1, OFUSG12158.2.p1, OFUSG12158.1.p1	APOSJ_57022, APOSJ_17804
OG0000044	OFUSG22654.1.p1, OFUSG22653.1.p1, OFUSG15735.1.p1, OFUSG15574.1.p1, OFUSG15256.2.p1, OFUSG15256.1.p1, OFUSG15731.1.p1, OFUSG15125.1.p1, OFUSG23742.1.p1, OFUSG15245.1.p1	APOSJ_25176, APOSJ_21325
OG0000045	OFUSG07522.1.p1	APOSJ_04410
OG0000045	OFUSG07524.1.p1, OFUSG00566.1.p1, OFUSG00564.1.p1, OFUSG00563.1.p1, OFUSG00567.1.p1	APOSJ_64963, APOSJ_04466, APOSJ_33667
OG0000045	OFUSG21045.1.p1, OFUSG07523.1.p1	APOSJ_44902, APOSJ_44899, APOSJ_44901, APOSJ_54328, APOSJ_02525, APOSJ_27472
OG0000046	OFUSG08597.1.p1, OFUSG08595.1.p1, OFUSG25817.1.p1, OFUSG06162.1.p1, OFUSG17068.1.p1, OFUSG10763.1.p1, OFUSG10761.1.p1	APOSJ_02618, APOSJ_32175, APOSJ_31531
OG0000048	OFUSG15815.1.p1	APOSJ_07071
OG0000048	OFUSG15705.1.p1	APOSJ_59658
OG0000048	OFUSG11584.1.p1	APOSJ_10763, APOSJ_10766, APOSJ_11623
OG0000048	OFUSG11587.1.p1	APOSJ_03221, APOSJ_10764
OG0000048	OFUSG11562.2.p1, OFUSG11562.1.p1	APOSJ_60260, APOSJ_60261, APOSJ_61046, APOSJ_60262, APOSJ_34779
OG0000048	OFUSG07757.1.p1, OFUSG07755.1.p1, OFUSG07756.1.p1, OFUSG07755.2.p2, OFUSG07756.2.p1, OFUSG07027.1.p1	APOSJ_24514, APOSJ_01275, APOSJ_42611, APOSJ_42613, APOSJ_42612, APOSJ_42607, APOSJ_42609, APOSJ_42608, APOSJ_42610
OG0000048	OFUSG04756.1.p1	APOSJ_12442
OG0000049	OFUSG00390.1.p1	APOSJ_51843
OG0000049	OFUSG06038.1.p1	APOSJ_36502
OG0000049	OFUSG23568.1.p1, OFUSG21437.1.p1	APOSJ_00656
OG0000049	OFUSG21750.1.p1, OFUSG17729.1.p1, OFUSG17727.1.p1, OFUSG17730.1.p1, OFUSG19421.1.p1, OFUSG19423.1.p1, OFUSG19424.1.p1	APOSJ_09319, APOSJ_59032
OG0000049	OFUSG19056.1.p1, OFUSG22443.1.p1	APOSJ_55361, APOSJ_34757, APOSJ_60078, APOSJ_57736, APOSJ_57738, APOSJ_60083, APOSJ_60080, APOSJ_60075, APOSJ_57737, APOSJ_60077, APOSJ_60082
OG0000050	OFUSG09384.1.p1	APOSJ_13876
