Orthogroup	OWEFU	NEMVE
OG0000043	OFUSG21723.1.p1	NEMVE02775, NEMVE00615, NEMVE12385, NEMVE21267, NEMVE22714, NEMVE22026, NEMVE21348, NEMVE21359, NEMVE05121
OG0000044	OFUSG03166.1.p1	NEMVE05548, NEMVE05555, NEMVE06435, NEMVE06437, NEMVE08743
OG0000044	OFUSG06861.1.p1, OFUSG10172.1.p1, OFUSG19783.1.p1	NEMVE04813
OG0000044	OFUSG11434.1.p1, OFUSG13798.1.p1, OFUSG12158.2.p1, OFUSG12158.1.p1	NEMVE09195, NEMVE09209
OG0000045	OFUSG07526.1.p1	NEMVE15604
OG0000045	OFUSG03364.1.p1, OFUSG23161.1.p1, OFUSG04606.1.p1, OFUSG05512.1.p1, OFUSG05503.1.p1	NEMVE16296
OG0000045	OFUSG21045.1.p1	NEMVE08202
OG0000045	OFUSG07523.1.p1	NEMVE03249, NEMVE10335
OG0000045	OFUSG18977.1.p1	NEMVE11131, NEMVE17534, NEMVE17201, NEMVE15169, NEMVE02656, NEMVE08142, NEMVE20592, NEMVE17847
OG0000046	OFUSG14160.1.p1, OFUSG04347.1.p1, OFUSG04346.1.p1, OFUSG03977.1.p1, OFUSG17498.1.p1, OFUSG06752.1.p1, OFUSG09037.1.p1, OFUSG04936.1.p1, OFUSG10579.1.p1, OFUSG01015.1.p1, OFUSG26772.1.p1, OFUSG12279.1.p1, OFUSG02356.1.p1, OFUSG13304.1.p1, OFUSG25123.1.p1	NEMVE08905, NEMVE15252
OG0000046	OFUSG10763.1.p1, OFUSG10761.1.p1	NEMVE05961
OG0000048	OFUSG03456.1.p1	NEMVE05567
OG0000048	OFUSG11586.1.p1	NEMVE05649
OG0000048	OFUSG11584.1.p1, OFUSG11585.1.p1, OFUSG11583.1.p1, OFUSG11587.1.p1	NEMVE14912
OG0000048	OFUSG11562.2.p1, OFUSG11562.1.p1	NEMVE14024
OG0000048	OFUSG07757.1.p1, OFUSG07755.1.p1, OFUSG07756.1.p1, OFUSG07755.2.p2, OFUSG07756.2.p1, OFUSG07027.1.p1, OFUSG04756.1.p1	NEMVE15061
OG0000049	OFUSG00390.1.p1, OFUSG06038.1.p1, OFUSG14032.1.p1, OFUSG18823.3.p1, OFUSG18823.1.p1, OFUSG18823.2.p1, OFUSG23568.1.p1, OFUSG21437.1.p1	NEMVE19461, NEMVE02399, NEMVE21864
OG0000049	OFUSG10735.1.p1, OFUSG14837.1.p1, OFUSG06810.1.p1, OFUSG18275.1.p1, OFUSG20360.1.p1, OFUSG20359.1.p1, OFUSG20362.1.p1, OFUSG14327.1.p1, OFUSG01468.1.p1, OFUSG04791.1.p1, OFUSG24665.1.p1, OFUSG04926.1.p1, OFUSG10567.1.p1	NEMVE15395, NEMVE15644
